cost_line_id,programme_id,programme_name,pillar,lead_ministry,cost_category,price_base_year,scenario,years_1_2,years_3_4,years_5_6,six_year_total,existing_funding,reallocated_funding,new_funding,cost_method,assumption_ids,confidence,cost_source_id,funding_split_basis,reach_count,reach_unit,overlap_group,phases_active,notes
CL-001,PRG-01,National Documentation Resolution Programme,P1 Foundations,Ministry of Home Affairs (JPN),operating_expenditure,2026,conservative,12.410,5.950,3.825,22.185,4.437,6.656,11.092,Staffed-service model: (desks x officers x loaded salary) + (mobile teams x annual cost) + one-off case-management system,ASM-C01,Benchmarked,SRC-018,"existing 0.20 = JPN adjudication capacity already funded within the Ministry of Home Affairs operating vote; reallocated 0.30 = MITRA community-services grant lines redirected to case management; new 0.50 = the incremental desk, mobile-team and case-system cost. ASSUMPTION pending MOF confirmation (VAL-03, VAL-28).",,case,individual,1-2-3,Loaded public-officer cost benchmarked to a Grade 41-44 total employment cost including overheads. Phase 2-3 taper reflects backlog clearance moving to steady-state maintenance.
CL-002,PRG-01,National Documentation Resolution Programme,P1 Foundations,Ministry of Home Affairs (JPN),operating_expenditure,2026,central,14.600,7.000,4.500,26.100,5.220,7.830,13.050,Staffed-service model: (desks x officers x loaded salary) + (mobile teams x annual cost) + one-off case-management system,ASM-C01,Benchmarked,SRC-018,"existing 0.20 = JPN adjudication capacity already funded within the Ministry of Home Affairs operating vote; reallocated 0.30 = MITRA community-services grant lines redirected to case management; new 0.50 = the incremental desk, mobile-team and case-system cost. ASSUMPTION pending MOF confirmation (VAL-03, VAL-28).",,case,individual,1-2-3,Loaded public-officer cost benchmarked to a Grade 41-44 total employment cost including overheads. Phase 2-3 taper reflects backlog clearance moving to steady-state maintenance.
CL-003,PRG-01,National Documentation Resolution Programme,P1 Foundations,Ministry of Home Affairs (JPN),operating_expenditure,2026,expanded,17.228,8.260,5.310,30.798,6.160,9.239,15.399,Staffed-service model: (desks x officers x loaded salary) + (mobile teams x annual cost) + one-off case-management system,ASM-C01,Benchmarked,SRC-018,"existing 0.20 = JPN adjudication capacity already funded within the Ministry of Home Affairs operating vote; reallocated 0.30 = MITRA community-services grant lines redirected to case management; new 0.50 = the incremental desk, mobile-team and case-system cost. ASSUMPTION pending MOF confirmation (VAL-03, VAL-28).",,case,individual,1-2-3,Loaded public-officer cost benchmarked to a Grade 41-44 total employment cost including overheads. Phase 2-3 taper reflects backlog clearance moving to steady-state maintenance.
CL-004,PRG-02,Early Childhood Access Programme,P1 Foundations,Ministry of Education,transfer_grant,2026,conservative,40.320,70.560,80.640,191.520,67.032,28.728,95.760,Programme cost = eligible cohort x participation rate x unit cost x years,ASM-C02,Provisional,,"existing 0.35 = per-place funding already flowing to registered preschool providers for children who would enrol regardless; reallocated 0.15 = MITRA education grants; new 0.50 = incremental subsidy, transport and meals. ASSUMPTION pending MOF and MOE confirmation (VAL-03).",38400,child,individual,1-2-3,"Fee subsidy benchmarked to registered preschool fee ranges; net of assistance already received. Phase 1: 16,000 x 0.40 x 4,200 x 2 = RM53.76m. Phase 2: 16,000 x 0.70 x 4,200 x 2 = RM94.08m. Phase 3: 16,000 x 0.80 x 4,200 x 2 = RM107.52m."
CL-005,PRG-02,Early Childhood Access Programme,P1 Foundations,Ministry of Education,transfer_grant,2026,central,53.760,94.080,107.520,255.360,89.376,38.304,127.680,Programme cost = eligible cohort x participation rate x unit cost x years,ASM-C02,Provisional,,"existing 0.35 = per-place funding already flowing to registered preschool providers for children who would enrol regardless; reallocated 0.15 = MITRA education grants; new 0.50 = incremental subsidy, transport and meals. ASSUMPTION pending MOF and MOE confirmation (VAL-03).",38400,child,individual,1-2-3,"Fee subsidy benchmarked to registered preschool fee ranges; net of assistance already received. Phase 1: 16,000 x 0.40 x 4,200 x 2 = RM53.76m. Phase 2: 16,000 x 0.70 x 4,200 x 2 = RM94.08m. Phase 3: 16,000 x 0.80 x 4,200 x 2 = RM107.52m."
CL-006,PRG-02,Early Childhood Access Programme,P1 Foundations,Ministry of Education,transfer_grant,2026,expanded,69.888,122.304,139.776,331.968,116.189,49.795,165.984,Programme cost = eligible cohort x participation rate x unit cost x years,ASM-C02,Provisional,,"existing 0.35 = per-place funding already flowing to registered preschool providers for children who would enrol regardless; reallocated 0.15 = MITRA education grants; new 0.50 = incremental subsidy, transport and meals. ASSUMPTION pending MOF and MOE confirmation (VAL-03).",38400,child,individual,1-2-3,"Fee subsidy benchmarked to registered preschool fee ranges; net of assistance already received. Phase 1: 16,000 x 0.40 x 4,200 x 2 = RM53.76m. Phase 2: 16,000 x 0.70 x 4,200 x 2 = RM94.08m. Phase 3: 16,000 x 0.80 x 4,200 x 2 = RM107.52m."
CL-007,PRG-03,SJKT Safety and Learning Environment Programme,P1 Foundations,Ministry of Education,development_expenditure,2026,conservative,50.094,42.035,17.642,109.771,21.954,10.977,76.840,Asset-condition model: (schools x audit cost) + (share needing works x average works cost) + (schools x digital facility cost) + coordinator training,ASM-C03,Provisional,,"existing 0.20 = the VERIFIED RM50m annual SJKT maintenance line only. Deliberately excludes the national dilapidated-schools programme per CNF-017. reallocated 0.10 = MITRA equipment grants; new 0.70 = audit, digital layer and incremental safety works. GATING on VAL-11.",528,school,institutional,1-2-3,"Audit: 528 x RM25k = RM13.200m. Digital: 528 x RM85k = RM44.880m split across Phases 1-2. Remediation: 30% of 528 = 158.4 schools x RM450k = RM71.280m phased 30/40/30. Coordinator training: 528 x 2 x RM3,500 = RM3.696m. Total RM133.056m. existing_share REDUCED from 0.55 to 0.20 so that it reflects O"
CL-008,PRG-03,SJKT Safety and Learning Environment Programme,P1 Foundations,Ministry of Education,development_expenditure,2026,central,60.720,50.952,21.384,133.056,26.611,13.306,93.139,Asset-condition model: (schools x audit cost) + (share needing works x average works cost) + (schools x digital facility cost) + coordinator training,ASM-C03,Provisional,,"existing 0.20 = the VERIFIED RM50m annual SJKT maintenance line only. Deliberately excludes the national dilapidated-schools programme per CNF-017. reallocated 0.10 = MITRA equipment grants; new 0.70 = audit, digital layer and incremental safety works. GATING on VAL-11.",528,school,institutional,1-2-3,"Audit: 528 x RM25k = RM13.200m. Digital: 528 x RM85k = RM44.880m split across Phases 1-2. Remediation: 30% of 528 = 158.4 schools x RM450k = RM71.280m phased 30/40/30. Coordinator training: 528 x 2 x RM3,500 = RM3.696m. Total RM133.056m. existing_share REDUCED from 0.55 to 0.20 so that it reflects O"
CL-009,PRG-03,SJKT Safety and Learning Environment Programme,P1 Foundations,Ministry of Education,development_expenditure,2026,expanded,73.471,61.652,25.875,160.998,32.200,16.100,112.698,Asset-condition model: (schools x audit cost) + (share needing works x average works cost) + (schools x digital facility cost) + coordinator training,ASM-C03,Provisional,,"existing 0.20 = the VERIFIED RM50m annual SJKT maintenance line only. Deliberately excludes the national dilapidated-schools programme per CNF-017. reallocated 0.10 = MITRA equipment grants; new 0.70 = audit, digital layer and incremental safety works. GATING on VAL-11.",528,school,institutional,1-2-3,"Audit: 528 x RM25k = RM13.200m. Digital: 528 x RM85k = RM44.880m split across Phases 1-2. Remediation: 30% of 528 = 158.4 schools x RM450k = RM71.280m phased 30/40/30. Coordinator training: 528 x 2 x RM3,500 = RM3.696m. Total RM133.056m. existing_share REDUCED from 0.55 to 0.20 so that it reflects O"
CL-010,PRG-04,Multi-Faith Community Institution Safety and Compliance Programme,P1 Foundations,Ministry of National Unity,development_expenditure,2026,conservative,13.120,11.200,11.200,35.520,3.552,12.432,19.536,Multi-faith facility model: (institutions audited x audit cost) + (priority institutions x matched safety works) + compliance and temple or estate-legacy referral advisory,ASM-C04,Provisional,,"existing 0.10 = local-authority safety-inspection capacity already funded; reallocated 0.35 = provisional MITRA community-institution grant capacity; new 0.55 = the federal share of matched safety works plus audit. All shares require MOF, state and agency validation. The RM44.400m envelope is a planning cap pending the multi-faith facility map, not a coverage commitment (VAL-13).",1200,facility,institutional,1-2-3,"Current envelope only: audit up to 1,200 institutions x RM12k = RM14.400m; safety works at approximately 400 priority institutions x RM120k x 50% federal share = RM24.000m; compliance and temple or estate-legacy referral advisory = RM6.000m; total RM44.400m. The expanded multi-faith definition does "
