responsibility_id,programme_id,programme_name,lead_ministry_or_agency,mandate_basis,supporting_agencies,accounting_officer,phase,escalation_route,mandate_verification_status,notes
RSP-01,PRG-01,National Documentation Resolution Programme,Ministry of Home Affairs (National Registration Department),"Registration of births and identity documents, and processing of citizenship applications, are functions of the National Registration Department under the Ministry of Home Affairs",Prime Minister's Department (delivery secretariat); Ministry of Education; Department of Social Welfare; state governments; legal-aid organisations,Secretary-General Ministry of Home Affairs,1-2-3,Named ministry delivery officer and accounting officer; automatic escalation under GC-06 to the senior-officials committee; unresolved policy questions to Cabinet,mandate-consistent-requires-confirmation,Citizenship determinations under Articles 15 and 16 of the Federal Constitution rest with the Minister and cannot be delegated to a task force. The Task Force may set service standards for processing but not for outcomes.
RSP-02,PRG-02,Early Childhood Access Programme,Ministry of Education,Preschool education policy and registered preschool provision fall within the Ministry of Education's mandate,KEMAS (Ministry of Rural and Regional Development); Department of National Unity; state education departments; community organisations,Secretary-General Ministry of Education,1-2-3,Named ministry delivery officer and accounting officer; automatic escalation under GC-06 to the senior-officials committee,mandate-consistent-requires-confirmation,"Multi-provider delivery (MOE, KEMAS, PERPADUAN, registered private) requires an inter-agency subsidy protocol so the subsidy is net of assistance already received."
RSP-03,PRG-03,SJKT Safety and Learning Environment Programme,Ministry of Education,National-type schools are within the national education system and their capital and maintenance funding is an MOE function,Public Works Department; state education departments; school boards and PIBG; MITRA,Secretary-General Ministry of Education,1-2-3,Named ministry delivery officer and accounting officer; automatic escalation under GC-06 to the senior-officials committee; capital scope changes to MOF,mandate-consistent-requires-confirmation,"Many SJKT sites sit on land not owned by the federal government, which constrains capital works. Land status must be established during the audit."
RSP-04,PRG-04,Multi-Faith Community Institution Safety and Compliance Programme,"Ministry of National Unity (delivered through the Department of National Unity and National Integration, JPNIN)","Community cohesion and community-institution support are within the Ministry's mandate; this does not displace state land, local-government or religious-administration powers","State governments and local authorities; Public Works Department; Fire and Rescue Department; relevant State Islamic Religious Councils or authorities; Hindu, Christian, Sikh, Baha'i and other representative or trustee bodies",Secretary-General Ministry of National Unity,1-2-3,"Named ministry delivery officer and accounting officer; automatic escalation under GC-06 to the senior-officials committee; land and local-government questions to the relevant state or federal-state forum; Islamic-administration questions to the relevant State Islamic Religious Council or authority; other institution-specific questions to the competent state body",mandate-contested,"Federal delivery requires state, institutional and any applicable religious-authority consent for each participating facility. Common grants are religion-neutral and limited to life safety, accessibility, compliance and documented public-interest community-service spaces; they exclude worship, proselytisation, ceremonies, devotional fixtures and doctrinal activity. Temple and estate-legacy tenure, relocation and registration findings are documented only for state referral. This remains the weakest mandate in the portfolio and is gated by VAL-13. JPNIN does not hold a vote; the Ministry Secretary-General is the controlling officer (Pegawai Pengawal)."
RSP-05,PRG-05,School-to-Pathway Guidance and Placement Support,Ministry of Education,School-based career guidance is an MOE function,Ministry of Higher Education; state education departments; TVET institutions; professional associations,Secretary-General Ministry of Education,1-2-3,Named ministry delivery officer and accounting officer; automatic escalation under GC-06 to the senior-officials committee,mandate-consistent-requires-confirmation,Requires a data-sharing arrangement with MOHE and TVET institutions to close the destination-tracking loop.
RSP-06,PRG-06,TVET and STEM Progression Pipeline,Ministry of Human Resources,"TVET coordination, skills development and employer engagement are within the Ministry of Human Resources mandate",Ministry of Higher Education; TVET institutions; Ministry of Education; employers and GLCs; HRD Corp,Secretary-General Ministry of Human Resources,1-2-3,Named ministry delivery officer and accounting officer; automatic escalation under GC-06 to the senior-officials committee; employer commitments to the National TVET Council,mandate-consistent-requires-confirmation,"TVET provision is split across several ministries and agencies. A single accountable lead is assigned deliberately, but delivery depends on providers outside the lead's line authority."
RSP-07,PRG-07,Tertiary Access Navigation and Transparency,Ministry of Education,Matriculation programmes are administered by the Ministry of Education,Ministry of Higher Education; matriculation colleges; Public Service Department,Secretary-General Ministry of Education,1-2-3,Named ministry delivery officer and accounting officer; automatic escalation under GC-06 to the senior-officials committee; any policy question on intake framework to Cabinet,mandate-consistent-requires-confirmation,The 90:10 intake framework is a standing policy matter. This programme requests publication and navigation only; it does not request reallocation of seats.
RSP-08,PRG-08,Professional Entry and Mentoring,Ministry of Higher Education,Graduate employability is within the Ministry of Higher Education's mandate,Professional associations; universities; employers; Ministry of Human Resources,Secretary-General Ministry of Higher Education,2-3,Named ministry delivery officer and accounting officer; automatic escalation under GC-06 to the senior-officials committee,mandate-consistent-requires-confirmation,Depends on voluntary professional mentor supply which the government does not control.
RSP-09,PRG-09,Household Progression Programme,Prime Minister's Department (delivery secretariat),A cross-ministry case-coordination function does not sit naturally in any single line ministry; the coordinating role is assigned to the delivery secretariat,Department of Social Welfare; Ministry of Human Resources; Ministry of Housing and Local Government; MITRA; state welfare departments,Chief Secretary to the Government (through the Director-General of the delivery secretariat),1-2-3,Named ministry delivery officer and accounting officer; automatic escalation under GC-06 to the senior-officials committee,mandate-requires-establishment,This is a NEW function and requires an explicit Cabinet mandate and a data-sharing instrument between agencies. Navigators coordinate access to existing programmes; they do not approve benefits.
RSP-10,PRG-10,Microenterprise Growth and Vendor Capability Programme,Ministry of Entrepreneur and Cooperatives Development,"Entrepreneur and SME development, including SME Corp and TEKUN, are within this Ministry's mandate",TEKUN Nasional; AIM; Bank Rakyat; SME Corp; MAICCI and KLSICCI; Ministry of Finance,Secretary-General Ministry of Entrepreneur and Cooperatives Development,2-3,Named ministry delivery officer and accounting officer; automatic escalation under GC-06 to the senior-officials committee; procurement policy questions to MOF,mandate-consistent-requires-confirmation,Procurement policy is a Ministry of Finance matter. This programme builds vendor capability; it does not and cannot alter procurement rules.
