kpi_id,programme_id,kpi_name,indicator_type,definition,baseline_value,baseline_year,baseline_status,year_2_target,year_4_target,year_6_target,measurement_frequency,data_owner,verification_source,disaggregation,notes
KPI-01,PRG-01,Documentation case resolution,output,Number of documentation and citizenship cases involving Malaysian-born persons of Indian origin resolved to a final decision; the median case cycle time in months; AND the approval/refusal split with refusal reasons published by category,No published aggregate exists,2026,to-be-established,Verified caseload baseline published; 15 one-stop desks operational; median cycle time reduced by at least 25% against the Year 1 measured baseline; approval/refusal split published for the first time,At least 70% of the Year 1 verified caseload resolved to a final decision,At least 90% of the Year 1 verified caseload resolved to a final decision; steady-state median cycle time published; approval rate published annually with an independent sample review of refused cases,Monthly,Ministry of Home Affairs (JPN),JPN case-management system; published monthly series,"Age band, state, applicant category (child, student, elderly, PWD, widow, single parent)","A RESOLUTION target is used, NOT an approval target: approval is a discretion of the Federal Government under Article 15A, Article 19 and Second Schedule Part II and cannot be committed to a percentage. COMPENSATING CONTROL added after independent critique: a resolution target alone is satisfiable by refusing every case, so the approval/refusal split, refusal reasons by category, and an independent sample review of refusals are published alongside it. The Year 1 baseline replaces the unverifiable 25,000 estimate."
KPI-02,PRG-02,Preschool participation among low-income Indian children,outcome,Proportion of children aged 4-5 in low-income Indian households enrolled in a registered preschool,Not measured,2026,to-be-established,Enrolment audit completed and baseline published; participation at approximately 40% of the eligible cohort,"Participation at approximately 70% of the eligible cohort; approximately 11,200 subsidised places","Participation at approximately 80% of the eligible cohort; approximately 12,800 subsidised places; school-readiness screening for all programme entrants",Annual,Ministry of Education,MOE enrolment records; annual programme audit,"State, provider type, gender, disability status","The Year 2 target is an AUDIT deliverable, not a participation claim, because no baseline exists. Doc A's 40,000 subsidised places exceeded the eligible cohort (CNF-022)."
KPI-03,PRG-03,SJKT condition standard,output,Proportion of the 528 SJKT meeting the defined safety and learning-environment standard,Not measured; no complete audited condition record exists,2026,to-be-established,100% of SJKT audited and a prioritised remediation schedule published; safety-critical works commenced at all schools rated highest risk,All schools rated safety-critical at audit remediated; digital facility and a trained coordinator in every SJKT,All 528 schools meeting the defined standard,Quarterly for works; annual for standard,Ministry of Education,MOE and PWD works records; published remediation schedule,"State, school size, risk rating",Requires MOE confirmation of the SJKT share of the national dilapidated-schools programme to avoid double-counting existing funding (VAL-11).
KPI-04,PRG-04,Community facility safety compliance,output,Number of participating community-service facilities meeting defined safety and accessibility standards,Not measured,2026,to-be-established,Audit completed for participating facilities; priority works list published,Safety-critical works completed at priority facilities,Participating facilities meeting the defined standard; tenure documentation referred to state authorities,Annual,Department of National Unity,Audit records; state authority certification,"State, facility type, service functions provided","Participation is voluntary and requires state and trustee consent, so the denominator is participating facilities, not all facilities."
KPI-05,PRG-05,Post-school destination,outcome,"Proportion of Indian SPM leavers in a confirmed education, training or employment destination twelve months after leaving school",Not measured,2026,to-be-established,Destination tracking system operational; first cohort baseline published,Measurable improvement against the Year 2 baseline,Sustained improvement with the full series published,Annual,Ministry of Education,Destination tracking survey; MOE and MOHE admissions data,"State, gender, household income band",No numeric target is set before a baseline exists. Setting one would be an invented figure.
KPI-06,PRG-06,TVET certified completion and employment,outcome,"Number of enrolees certified, and the proportion in employment at or above the indexed wage threshold twelve months after certification",No dedicated pipeline exists,2026,to-be-established,"Approximately 5,000 enrolees; completion rate published; tracking operational","Approximately 15,000 cumulative enrolees; completion rate at least 80%","Approximately 30,000 cumulative enrolees; at least 65% of certified graduates in employment at or above the indexed threshold twelve months after certification",Quarterly for enrolment; annual for employment,Ministry of Human Resources,Training provider records; EPF and SOCSO contribution matching for employment verification,"Sector, gender, state, prior income band","The employment threshold is the prevailing national minimum wage plus 25%, restated and published annually. Doc A's RM2,672 threshold was a 2014 statistic and is rejected (CNF-023). Completion and employment targets are set below Doc A's 85% and 70% because those figures had no evidential basis."
KPI-07,PRG-07,Pre-university pathway transparency and conversion,output,Publication of an annual disaggregated intake and offer series; and the proportion of qualified Indian applicants receiving a confirmed place,"Disputed and unpublished: 1,116 seats asserted by an NGO, 1,537 offers asserted in a source draft, neither traced to MOE",2025,disputed,First official disaggregated intake and offer series published; navigation support operational,Full series published for three consecutive intakes; attrition point between qualification and enrolment identified,Series published annually as standing practice; measurable reduction in qualified applicants lost for procedural reasons,Annual,Ministry of Education,MOE matriculation intake records,"Pathway, state, qualification band","Deliberately a TRANSPARENCY KPI, not a seat-count KPI. No additional seats are requested and the 90:10 framework is unchanged."
KPI-08,PRG-08,Professional employment conversion,outcome,Proportion of mentored graduates in professional employment within eighteen months,Not measured,2026,to-be-established,n/a - programme begins Phase 2,Baseline established from the first mentored cohort,Measurable improvement against the first-cohort baseline,Annual,Ministry of Higher Education,Graduate tracer study; professional association records,"Field, gender, institution type",No numeric target before a baseline exists.
KPI-09,PRG-09,Household progression,outcome,"Proportion of enrolled households demonstrating measurable movement in at least two of: income stability, employment, savings, housing security, within 24 months of enrolment",Not measured,2026,to-be-established,"Approximately 18,000 households enrolled; progression measurement framework operational; first cohort baseline","Approximately 40,000 households cumulatively enrolled; at least 40% of the Phase 1 cohort showing movement in two or more domains","Approximately 60,000 households cumulatively enrolled; at least 50% of households enrolled for 24 months or more showing movement in two or more domains",Semi-annual,Prime Minister's Department (delivery secretariat),Household progression record (consent-based); independent evaluation,"State, household composition, entry income band, gender of household head",Coverage is capped at approximately 10% of the estimated low-income Indian household population and is NOT universal. Enrolment is voluntary and consent-based.
KPI-10,PRG-10,Enterprise growth and procurement participation,outcome,Revenue and employment growth among participating enterprises; and the measured share and value of federal procurement awarded to certified Indian-owned vendors,Not measured; no certified register exists,2026,to-be-established,n/a - programme begins Phase 2,"Approximately 3,000 enterprises through advisory; certified vendor register operational; first procurement participation series published","Approximately 6,000 enterprises through advisory; sustained revenue and employment growth among participants; procurement participation published annually",Annual,Ministry of Entrepreneur and Cooperatives Development,SME Corp records; MOF procurement data; SSM and tax filings with consent,"Sector, enterprise size, state, gender of owner","Procurement participation is MEASURED AND PUBLISHED, not mandated. The 2% set-aside and RM100m contract-value targets in the source draft are rejected on Article 8 grounds (CNF-024)."
