narrative_id,source_document,source_location,narrative_element,narrative_type,evidence_status,exaggeration_risk,evidence_needed,recommended_treatment,linked_claim_ids
NAR-001,Doc B,Tab 1,"A child without documentation struggles to enter school; a student without guidance misses opportunities; a graduate without networks struggles to find quality work; a family with unstable income postpones ownership - the barriers compound",compounding_disadvantage_chain,source-supported-inference,low,"Evidence that documentation status gates school enrolment, MIB 2017 PDF p.36 establishes exclusion from the eKasih WELFARE register; the school-enrolment and employment gating is at PDF p.99",RETAIN as the opening frame. It is the strongest narrative device in either document and is structurally accurate. Present as a description of how barriers interact rather than as a claim about prevalence.,"CLM-010;CLM-048"
NAR-002,Doc B,Tab 2.2,"Documentation sits with one authority, education with another, training and housing elsewhere; for a low-income household, an elderly applicant, a single mother or a displaced estate family the system itself becomes the obstacle",fragmentation_narrative,source-supported-inference,low,None beyond the institutional description itself,RETAIN. This is the human articulation of the coordination diagnosis and it justifies the delivery architecture directly.,CLM-048
NAR-003,Doc B,Tab 2.3,"Money is disbursed. Training is completed. An application is approved. A beneficiary is counted. But the system does not answer whether the family moved forward",measurement_critique,source-supported-inference,low,None,"RETAIN, lightly edited. It is the sharpest passage in either draft and it drives the entire KPI design.","CLM-048;CNF-018"
NAR-004,Doc A,Exec Summary / S1.1.1,"The transition from displaced estate workers to an urbanised community remains unfinished; the IB40 is the defining challenge",historical_structural_explanation,source-supported-inference,medium,DOSM data on estate-origin populations; the 227600 figure is 2014 vintage,"RETAIN the structural history, which the MIB documents. REMOVE the presentation of 2014 figures as current. Do not describe the community as defined by its poorest segment - that is the homogenisation the brief prohibits.","CLM-001;CLM-002;CNF-001"
NAR-005,Doc A,S4.2,"Statelessness is the community's oldest open wound and its cheapest to close. A stateless child denied schooling is an irreversible harm",moral_claim,source-supported-inference,medium,Evidence on the cost of documentation processing relative to other interventions,"RETAIN the irreversibility argument, which is sound and is the strongest moral case in either document. REMOVE 'cheapest to close' - no comparative cost evidence exists and the claim is easily rebutted.",CLM-010
NAR-006,Doc A,S4.2,"A Malaysian-born applicant who had waited since 1947 received citizenship (July 2026)",individual_case,cited-source-not-yet-inspected,high,Verification of the case,"RETAIN only if verified, and only as an illustration of case-by-case resolution. NEVER as evidence of prevalence - the drafting rules prohibit using an anecdote as prevalence evidence.",CLM-055
NAR-007,Doc B,Tab 4,"A child finally receives documentation. A qualified student secures a place. A Tamil school roof is repaired. A graduate joins the civil service. A single mother receives support to grow her business",visible_delivery_imagery,illustrative,medium,None - these are illustrations not claims,"RETAIN in reduced form as an illustration of what Phase 1 outputs look like to a household. Cap at one short passage; Doc B repeats this device at least six times.",
NAR-008,Doc B,Tab 3 Guarantee One,"No child chooses the circumstances into which they are born. Whether a child is born into an estate family, an urban B40 household, a fishing village, a new village or a city apartment should never determine the opportunities available throughout life",equal_opportunity_principle,recommendation,low,None,"RETAIN. It is also the passage that best satisfies the heterogeneity requirement, since it names distinct sub-populations rather than treating the community as uniform.",CLM-045
NAR-009,Doc B,Tab 2.5,"It would be a serious political mistake to frame Malaysian Indians only as recipients of welfare. The community includes workers, professionals, educators, traders, entrepreneurs, civil servants and cultural leaders",anti_stigmatisation,recommendation,low,None,"RETAIN and elevate. This is the explicit corrective to the homogenisation risk, and it should appear early in the proposal rather than in the middle.","CLM-005;CLM-045"
NAR-010,Doc A,Exec Summary,"This plan is written in partnership with the government's own record, which it credits plainly",crediting_existing_effort,source-supported-inference,medium,Verification of each credited item,"RETAIN the posture, which is politically and analytically correct. CORRECT the underlying list: several credited figures are unverified (RM220m, RM300m package) or misattributed (RM2bn schools programme, SJKP guarantee).","CLM-018;CLM-026;CLM-029;CLM-030"
