source_id,title,issuing_institution,publication_date,location_in_source,url,access_date,geographic_scope,population_scope,definition_used,tier,limitations,supports_directly_or_inference
SRC-001,Malaysian Indian Blueprint 2017 (English edition),Government of Malaysia / MIB Secretariat (hosted copy: SEVAI),2017-04-23,172-page PDF; pp.16-18 income segments; p.23 statelessness; p.33 & p.40 welfare targets; p.41 & p.112 PNB seed fund; pp.94-95 income and B40 share; p.118 & p.129 civil service target; PDF p.147 phasing (printed folio 145),https://sevai.my/wp-content/uploads/2023/04/210417v1_MIB-English-PDF.pdf,2026-08-05,Malaysia,Malaysian Indian citizens,Blueprint policy document; underlying statistics drawn from DOSM Household Income Survey 2012 and 2014,1,"Hosted third-party copy, not a gov.my domain; underlying data is 2012-2014 vintage; several MIB targets have no published progress reporting",Direct
SRC-002,Household Income and Expenditure Survey (HIES) Report 2022 (Malaysia and States) / Household Income & Expenditure dashboard,Department of Statistics Malaysia (DOSM),2023,Ethnic income tables; national median,https://www.dosm.gov.my/portal-main/release-content/household-income-survey-report--malaysia--states,2026-08-05,Malaysia,All Malaysian households,Mean and median gross monthly household income by ethnic group of household head,2,"Published figure available to this exercise is Indian MEAN household income RM8,950 (2022) and national MEDIAN RM6,338; Indian MEDIAN and an Indian-specific B40 household count for 2022 were not obtained at source and remain a validation item",Direct
SRC-003,Poverty in Malaysia 2022,Department of Statistics Malaysia (DOSM),2023,Poverty incidence by ethnic group,https://www.dosm.gov.my/portal-main/release-content/poverty-in-malaysia-,2026-08-05,Malaysia,All Malaysian households,Absolute poverty incidence against the 2019-methodology national Poverty Line Income,2,Ethnic breakdown for 2024 release not obtained; 2022 is the latest figure verified here,Direct
SRC-004,Current Population Estimates 2026,Department of Statistics Malaysia (DOSM),2026,Population by ethnic group,https://www.dosm.gov.my/portal-main/release-content/current-population-estimates-2026,2026-08-05,Malaysia,Total population and citizens,Indian share of population; total population 34.4 million (2026); citizens 31.0 million (2026),2,Indian share reported as 6.5% (2024) declining from 6.6% (2023); whether the share is of total population or of citizens is not disambiguated in the summary obtained — definitional validation item,Direct
SRC-005,Civil service ethnic composition as at 31 December 2024 (HRMIS),Public Service Department (JPA) via BERNAMA,2025,"Statement by JPA Director-General; 1,302,429 civil servants excluding RMP and MAF; Indians 3.7%",https://www.bernama.com/en/news.php/general/news.php?id=2380553,2026-08-05,Malaysia,Federal civil service excluding police and armed forces,Share of total civil service headcount recorded in HRMIS,3,"Not grade-disaggregated; excludes RMP and MAF, so it is not a whole-of-public-sector figure",Direct
SRC-006,"I will 'personally oversee' affairs of Indian community, says Anwar",The Star,2026-07-29,National news report; Seremban engagement,https://www.thestar.com.my/news/nation/2026/07/29/i-will-039personally-oversee039-affairs-of-indian-community-says-anwar,2026-08-05,Malaysia,Malaysian Indian community,Prime Ministerial statement of personal oversight,4,"Media report of a verbal statement; no gazetted instrument, Cabinet decision or terms of reference published",Direct
SRC-007,Govt raises MITRA allocation to RM150 million,BERNAMA / The Star / The Edge Malaysia,2026-05-10,"PM announcement of additional RM50 million, total RM150 million for 2026",https://www.thestar.com.my/news/nation/2026/05/10/pm-anwar-announces-rm50mil-extra-funding-for-mitra-in-2026,2026-08-05,Malaysia,Malaysian Indian community programmes,MITRA annual allocation for calendar year 2026,4,Media report of an announcement; not traced to a gazetted supplementary supply document,Direct
SRC-008,528 Tamil schools nationwide with 78501 pupils,theSun,2026,Ministry of Education figures as at 31 May 2026,https://thesun.my/news/malaysia-news/528-tamil-schools-nationwide-with-78501-pupils/,2026-08-05,Malaysia,National-type Tamil primary schools (SJKT),Count of SJKT and enrolled pupils,4,Conflicts with The Star (16 June 2026) which refers to 527 Tamil schools receiving the maintenance allocation — see CNF-006,Direct
SRC-009,RM50mil maintenance funds for all 527 Tamil schools,The Star,2026-06-16,Federal SJKT maintenance allocation 2026,https://www.thestar.com.my/news/nation/2026/06/16/rm50mil-maintenance-funds-for-all-527-tamil-schools,2026-08-05,Malaysia,SJKT,Federal maintenance allocation for SJKT in 2026,4,School count (527) and prior-year base differ across reports (RM30m vs RM20m) — see CNF-006,Direct
SRC-010,Over 6700 SPM with 10As or more to get matriculation offers,The Star / Free Malaysia Today / Malay Mail,2026-04-08,"All 6,717 candidates with 10A+ in SPM 2025 offered matriculation places for 2026/27; 90:10 quota unchanged",https://www.thestar.com.my/news/nation/2026/04/08/over-6700-spm-with-10as-or-more-to-get-matriculation-offers,2026-08-05,Malaysia,All SPM 2025 candidates with 10A or better,Automatic matriculation offer irrespective of race,4,"6,717 is an all-races figure, not an Indian figure; the Indian sub-component is not published in this source",Direct
