decision_id,category,decision_text,what_it_authorises,what_it_does_not_authorise,dependency,responsible_owner,completion_evidence
AN-01,approve_now,Approve the policy direction and strategic objectives of MIB 2.0 as the basis for further government design and validation,"A common policy direction focused on removing structural barriers through needs-based delivery","Adoption of the six-year implementation portfolio; any ethnic entitlement; any expenditure or statutory change",None,Prime Minister's Department,Cabinet decision records the approved direction and objectives
AN-02,approve_now,Authorise a 90-calendar-day cross-agency validation exercise beginning on the date of Cabinet notification,"Collection and reconciliation of the thirty validation items; agency data requests; legal, fiscal and delivery testing","Programme launch; beneficiary enrolment; grants; procurement; contracts; permanent establishment; or commitment beyond the validation period",Cabinet notification,Prime Minister's Department with responsible ministries,Validation report and disposition register submitted within 90 calendar days
AN-03,approve_now,Establish an interim coordination arrangement and require participating ministries and agencies to nominate accountable focal points,"A Prime Minister-sponsored oversight group, a senior-officials coordination mechanism and an interim secretariat operating within existing approved functions and resources","Creation of the proposed 35 permanent secretariat posts; transfer of statutory powers, budgets or accounting-officer responsibilities; direction of independent or state authorities",Existing lawful mandates and approved resources,Prime Minister's Department,Terms of reference and named focal-point list issued
AN-04,approve_now,Authorise preparation of a formal implementation submission after validation,"Programme design sheets, a legal issues matrix, a Treasury-validated Phase 1 fiscal memorandum and an implementation decision paper","Automatic return to Cabinet with the current scope or figures; unresolved items must be removed, re-scoped or presented as explicit conditions",Completion of validation exercise,Sponsoring minister and Prime Minister's Department,Formal submission pack satisfies the Cabinet-ready test
AN-05,approve_now,Require validation and design work to use existing approved resources unless a separate capped request is justified,"Use of existing lawful administrative capacity for the validation exercise; preparation of a separately itemised request if a demonstrable resource gap remains","Any new design or validation appropriation under this proposal; use of the indicative six-year envelope; retrospective or open-ended expenditure",MOF concurrence for any later additional request,Sponsoring ministry with Ministry of Finance,Either written confirmation of delivery within existing resources or a separate itemised ceiling with Treasury concurrence
CE-01,conditional_endorsement,Conditionally endorse the six-year architecture as the basis for validation and detailed design,"Testing of the four-pillar, three-phase structure and its sequencing","Adoption of the architecture as a binding implementation plan or authority to proceed by calendar alone",Successful validation and later formal approval,Prime Minister's Department with lead ministries,Validated architecture included in the formal implementation submission
CE-02,conditional_endorsement,Conditionally endorse the central fiscal scenario as an indicative planning case only,"Treasury testing of programme costs, funding classifications, inflation treatment and affordability against conservative and expanded sensitivity cases","Approval of a final RM1,484.273 million envelope; confirmation of RM636.596 million as existing or reallocated funding; or any appropriation",Treasury validation and normal budget processes,Ministry of Finance with Ministry of Economy,Treasury-reviewed fiscal memorandum replaces the indicative scenario
CE-03,conditional_endorsement,Conditionally endorse the sixteen retained substantive programme directions for detailed design,"Preparation of programme design sheets and agency feasibility decisions","Approval, launch or funding of any individual programme; acceptance of provisional volumes or targets",Programme-specific legal fiscal mandate and baseline clearances,Relevant lead ministry or agency,Signed programme design sheet for each programme proposed for launch
CE-04,conditional_endorsement,Conditionally endorse Phase 1 as a candidate implementation package for a later decision,"Detailed scoping of a Phase 1 package and identification of the clearances applying to each component","Commencement of Phase 1; approval of its current RM355.3 million central scenario; or bypass of AGC, MOF, JPA, agency, state or partner decisions",Formal implementation submission and all applicable pre-launch gates,Cabinet on a subsequent submission,"Separate Cabinet decision identifies approved components, ceiling, owners and launch conditions"
NA-01,not_for_approval_now,Do not approve the final six-year fiscal envelope,"Records the RM1,484.273 million central total solely as an indicative planning scenario","No financial ceiling, commitment or expectation of future appropriation is created",Treasury validation and later Cabinet decision,Ministry of Finance,Final amount appears only in a later Treasury-reviewed submission
NA-02,not_for_approval_now,Do not approve or recognise unverified ministry reallocations as available funding,"Permits ministries and Treasury to test whether any existing allocation can lawfully and operationally support the proposal","No ministry vote is surrendered, reserved, relabelled or reduced",Ministry and Treasury confirmation,Ministry of Finance with affected ministries,Written confirmation by vote programme and financial year
NA-03,not_for_approval_now,Do not approve any Phase 1 appropriation or any Years 3–6 appropriation,"Preserves later phase-by-phase decisions under the normal budget and development-planning processes","No present or future supply, development expenditure or rolling-plan allocation is authorised",Normal appropriation and Malaysia Plan processes,Cabinet Parliament Ministry of Finance and Ministry of Economy,Separate lawful approvals for each relevant phase and expenditure class
NA-04,not_for_approval_now,Do not approve or direct PNB participation in PRG-11,"Allows MOF to explore product options and seek PNB's independent commercial view","No commitment by PNB and no direction concerning a commercial product or allocation",PNB commercial agreement and MOF design approval,Ministry of Finance and PNB,Written product decision or an approved alternative qualifying provider
NA-05,not_for_approval_now,"Do not approve commitments dependent on states, local authorities, trustees or religious authorities","Allows consent-based engagement and mapping of applicable jurisdictional pathways","No state, land, housing, religious-institution, local-authority or trustee commitment is presumed",Written consent and applicable legal or administrative approval,Relevant federal and state authorities,Documented consent or an explicit conditional exclusion from the launch package
NA-06,not_for_approval_now,Do not approve programme outcome targets whose baselines are not verified,"Allows baseline construction and testing of proposed target methodology","No to-be-established value or planning volume becomes a performance guarantee or entitlement",Verified baseline and agency acceptance,Relevant data owner and lead ministry,Published baseline methodology and approved recalibrated target
NA-07,not_for_approval_now,"Do not approve permanent-establishment, statutory, procurement or contractual consequences","Allows JPA, AGC, MOF and agencies to test the proposed delivery model","No 35-post secretariat, new legal power, procurement exercise, grant award, contract or beneficiary commitment is authorised","Applicable establishment, legal, fiscal and procurement approvals","JPA, AGC, MOF and responsible accounting officers",Each consequence is expressly authorised in a later instrument
