assumption_id,programme_id,cost_category,price_base_year,cost_method,eligible_population,participation_basis,unit_cost_rm,frequency_or_duration,variable_share,years_1_2_central_rm_m,years_3_4_central_rm_m,years_5_6_central_rm_m,existing_share,reallocated_share,new_share,confidence,recurring_or_one_off,basis_and_benchmark,validation_item,formula_status,formula_derived_total_rm_m,cost_source_id,funding_split_basis,reach_count,reach_unit,overlap_group
ASM-C01,PRG-01,operating_expenditure,2026,Staffed-service model: (desks x officers x loaded salary) + (mobile teams x annual cost) + one-off case-management system,"Verified caseload not yet established; MIB 2017 estimated 25,000 persons with documentation issues","Service capacity, not participation rate",90000,Loaded annual cost per officer; 15 desks x 3 officers; 8 mobile teams at RM250k per year; RM3m one-off system in Phase 1,0.60,14.6,7.0,4.5,0.20,0.30,0.50,Benchmarked,"Recurring, declining after Phase 1",Loaded public-officer cost benchmarked to a Grade 41-44 total employment cost including overheads. Phase 2-3 taper reflects backlog clearance moving to steady-state maintenance.,VAL-12,partial,,SRC-018,"existing 0.20 = JPN adjudication capacity already funded within the Ministry of Home Affairs operating vote; reallocated 0.30 = MITRA community-services grant lines redirected to case management; new 0.50 = the incremental desk, mobile-team and case-system cost. ASSUMPTION pending MOF confirmation (VAL-03, VAL-28).",,case,individual
ASM-C02,PRG-02,transfer_grant,2026,Programme cost = eligible cohort x participation rate x unit cost x years,"Approximately 16,000 children aged 4-5 in low-income Indian households (ASM-008 derivation)",Participation rising 40% (Phase 1) to 70% (Phase 2) to 80% (Phase 3),4200,"Per child per year: fee subsidy RM2,750 + transport RM600 + meals RM850",1.00,53.760,94.080,107.520,0.35,0.15,0.50,Provisional,Recurring,"Fee subsidy benchmarked to registered preschool fee ranges; net of assistance already received. Phase 1: 16,000 x 0.40 x 4,200 x 2 = RM53.76m. Phase 2: 16,000 x 0.70 x 4,200 x 2 = RM94.08m. Phase 3: 16,000 x 0.80 x 4,200 x 2 = RM107.52m.",VAL-09,complete,255.360,,"existing 0.35 = per-place funding already flowing to registered preschool providers for children who would enrol regardless; reallocated 0.15 = MITRA education grants; new 0.50 = incremental subsidy, transport and meals. ASSUMPTION pending MOF and MOE confirmation (VAL-03).",38400,child,individual
ASM-C03,PRG-03,development_expenditure,2026,Asset-condition model: (schools x audit cost) + (share needing works x average works cost) + (schools x digital facility cost) + coordinator training,528 SJKT,All schools audited; remediation prioritised by audited risk,25000,"Audit RM25k per school (one-off); average safety-critical works RM450k for an assumed 30% of schools; digital facility RM85k per school; coordinator training RM3,500 x 2 per school",0.70,60.720,50.952,21.384,0.20,0.10,0.70,Provisional,One-off capital with a recurring maintenance tail,"Audit: 528 x RM25k = RM13.200m. Digital: 528 x RM85k = RM44.880m split across Phases 1-2. Remediation: 30% of 528 = 158.4 schools x RM450k = RM71.280m phased 30/40/30. Coordinator training: 528 x 2 x RM3,500 = RM3.696m. Total RM133.056m. existing_share REDUCED from 0.55 to 0.20 so that it reflects ONLY the verified RM50m SJKT maintenance line: per CNF-017 MIB 2.0 claims NO part of the national dilapidated-schools programme, and the earlier 0.55 contradicted that resolution. This raises the new-funding requirement, which is the conservative direction.",VAL-11,complete,133.056,,"existing 0.20 = the VERIFIED RM50m annual SJKT maintenance line only. Deliberately excludes the national dilapidated-schools programme per CNF-017. reallocated 0.10 = MITRA equipment grants; new 0.70 = audit, digital layer and incremental safety works. GATING on VAL-11.",528,school,institutional
ASM-C04,PRG-04,development_expenditure,2026,Multi-faith facility model: (institutions audited x audit cost) + (priority institutions x matched safety works) + compliance and temple or estate-legacy referral advisory,"Up to 1,200 participating faith-based and community institutions under the current provisional envelope; this is not a verified multi-faith facility baseline","Voluntary participation with state, institutional and any applicable religious-authority consent; needs-ranked with no fixed allocation by religion",12000,"Audit RM12k per institution; matched safety works averaging RM120k for approximately 400 priority institutions, federal share 50%; compliance and referral advisory RM6m over six years",0.80,16.400,14.000,14.000,0.10,0.35,0.55,Provisional,One-off,"Current envelope only: audit up to 1,200 institutions x RM12k = RM14.400m; safety works at approximately 400 priority institutions x RM120k x 50% federal share = RM24.000m; compliance and temple or estate-legacy referral advisory = RM6.000m; total RM44.400m. The expanded multi-faith definition does not validate or enlarge these volumes. A Phase 1 facility map must recalculate the eligible population, faith-type distribution, priority caseload, partner capacity and fiscal envelope before formal approval. No fixed allocation by religion is assumed.",VAL-13,complete,44.400,,"existing 0.10 = local-authority safety-inspection capacity already funded; reallocated 0.35 = provisional MITRA community-institution grant capacity; new 0.55 = the federal share of matched safety works plus audit. All shares require MOF, state and agency validation. The RM44.400m envelope is a planning cap pending the multi-faith facility map, not a coverage commitment (VAL-13).",1200,facility,institutional
ASM-C05,PRG-05,operating_expenditure,2026,"Per-student service model: cohort x unit cost x years, plus one-off platform","Approximately 20,000 Indian students per SPM cohort (provisional)",All students in participating schools receive profiling; intensive support prioritised by income,120,RM120 per student profiling and clinic support; RM5m one-off platform in Phase 1,0.50,9.8,4.8,4.8,0.40,0.10,0.50,Provisional,Recurring,"Cohort size derived from the Indian share of the national SPM cohort and is PROVISIONAL. NOTE, flagged by independent critique: this figure (approximately 20,000 per year) coincides with the annual birth-cohort figure at ASM-008. They are NOT the same population - an SPM cohort is drawn from births some seventeen years earlier, when the Indian population share was higher, and only a subset of any birth cohort sits SPM. The coincidence is unexplained and at least one of the two figures is likely wrong. Both are gating on MOE/DOSM confirmation (VAL-09, VAL-14). Unit cost benchmarked to existing school-based guidance service costs but with no external source, hence Provisional.",VAL-14,complete,19.400,,"existing 0.40 = school counselling and career-guidance posts already established in MOE; reallocated 0.10 = MITRA education grants; new 0.50 = incremental profiling, clinics and the platform. ASSUMPTION pending MOE confirmation (VAL-14).",120000,student,individual
ASM-C06,PRG-06,operating_expenditure,2026,Programme cost = enrolees x (stipend + programme support) + apprenticeship incentives,Indian SPM leavers not proceeding to tertiary education,"5,000 enrolees in Phase 1, 10,000 in Phase 2, 15,000 in Phase 3 (30,000 cumulative)",8500,"Per enrolee: completion stipend RM500 x 12 months = RM6,000, plus programme support RM2,500. Apprenticeship incentive RM4,000 per placement for 1,000 / 2,000 / 3,000 placements",1.00,46.5,93.0,139.5,0.45,0.15,0.40,Benchmarked,Recurring,"Training seats themselves run on existing accredited TVET capacity and are counted in existing_share. Phase 1: 5,000 x 8,500 = RM42.5m + RM4.0m apprenticeships. Phase 2: 10,000 x 8,500 = RM85m + RM8m. Phase 3: 15,000 x 8,500 = RM127.5m + RM12m.",VAL-15,complete,279.000,SRC-017,"existing 0.45 = accredited TVET seat funding and HRD Corp employer levy already committed; reallocated 0.15 = MITRA skills grants; new 0.40 = stipends and apprenticeship incentives, which no existing instrument funds. ASSUMPTION pending MOHR and HRD Corp confirmation (VAL-15).",30000,youth,individual
ASM-C07,PRG-07,operating_expenditure,2026,Service and publication model: navigation support plus annual data publication,Qualified Indian applicants to pre-university pathways,Navigation support prioritised by household income,250,"RM250 per supported applicant for approximately 20,000 applicants per phase, plus RM1.0m per phase for data publication and review",0.50,6.0,6.0,6.0,0.50,0.10,0.40,Provisional,Recurring,"RM250 per supported applicant for approximately 20,000 applicants per phase = RM5.000m, plus RM1.000m per phase for data publication and review = RM6.000m per phase, RM18.000m over three phases. No additional matriculation seats are requested and none are costed.",VAL-05,complete,18.000,,existing 0.50 = MOE and MOHE admissions administration already funded; reallocated 0.10 = MITRA education grants; new 0.40 = navigation support and the published data series. ASSUMPTION (VAL-05).,60000,applicant,individual
ASM-C08,PRG-08,operating_expenditure,2026,Mentoring and placement network model,Indian graduates within three years of completion,Voluntary participation; mentor supply is the binding constraint,800,"RM800 per mentored graduate for approximately 2,500 graduates per phase, plus network coordination",0.70,0.0,4.0,4.0,0.30,0.20,0.50,Provisional,Recurring,"RM800 per mentored graduate for approximately 2,500 graduates per phase = RM2.000m, plus RM2.000m per phase network coordination and placement brokerage = RM4.000m per phase across Phases 2-3. Unit cost is a planning assumption; no comparable Malaysian programme cost was located.",VAL-16,complete,8.000,,existing 0.30 = university career-services capacity already funded; reallocated 0.20 = MITRA human-capital grants; new 0.50 = mentoring network coordination. ASSUMPTION (VAL-16).,5000,graduate,individual
ASM-C09,PRG-09,operating_expenditure,2026,"Case-management model: (households / caseload per navigator) x loaded navigator cost x years, plus one-off case system",Low-income Indian households facing two or more concurrent barriers,"Capped concurrent service capacity: approximately 18,000 households in Phase 1, 42,000 in Phase 2 and 60,000 in Phase 3, i.e. approximately 26% of the 2014-basis low-income Indian household count of 227,600, or approximately 10% of all Indian households at the Phase 3 peak. Cumulative reach is not specified and will depend on case duration and turnover",72000,Loaded annual cost per navigator; caseload 150 households per navigator; 120 / 280 / 400 navigators; case-management system RM18m phased 12/4/2,1.00,29.280,44.320,59.600,0.10,0.40,0.50,Benchmarked,Recurring,Caseload of 150 benchmarked to intensive case-management practice. Phase 1: 120 x 72k x 2 = RM17.28m + RM12m system. Phase 2: 280 x 72k x 2 = RM40.32m + RM4m. Phase 3: 400 x 72k x 2 = RM57.6m + RM2m. Coverage is deliberately capped and is NOT universal.,VAL-17,complete,133.200,SRC-018,"existing 0.10 = Department of Social Welfare case-work capacity already funded; reallocated 0.40 = MITRA welfare grant lines redirected from episodic aid to case management, the single largest reallocation in the portfolio; new 0.50 = the navigator cadre and case system. ASSUMPTION pending MOF and MITRA confirmation (VAL-28).",60000,household,household
ASM-C10,PRG-10,operating_expenditure,2026,"Enterprise advisory model: enterprises x advisory cost, plus certification and consortium support",Indian-owned microenterprises and small businesses with growth potential,"Approximately 5,000 enterprises over Phases 2-3",6000,"RM6,000 per enterprise structured advisory; plus certification and consortium support of RM6m total",0.85,0.0,18.0,18.0,0.35,0.25,0.40,Provisional,Recurring,"5,000 enterprises x RM6,000 structured advisory = RM30.000m, plus RM6.000m certification and consortium support = RM36.000m across Phases 2-3. NO new financing facility is created and none is costed - financing continues on existing TEKUN, SPUMI, AIM and BRIEF-i rails.",VAL-18,complete,36.000,,existing 0.35 = SME Corp and TEKUN advisory capacity already funded; reallocated 0.25 = MITRA entrepreneur grants; new 0.40 = incremental advisory volume and consortium support. NOTE no new financing facility is created. ASSUMPTION (VAL-18).,5000,enterprise,enterprise
