programme_id,source_document,programme_name,pillar,problem_addressed,structural_cause,target_group,eligibility,delivery_mechanism,proposed_owner,supporting_agencies,phase,output,outcome,kpi_id,stated_cost_in_source,cost_status,duplication_assessment,missing_design_information,preliminary_feasibility,retain_decision
PRG-01,Both,National Documentation Resolution Programme,P1 Foundations,"Malaysian-born persons of Indian origin without citizenship documents are excluded from school enrolment, formal employment, healthcare subsidy and the eKasih welfare register","Historic under-registration of estate births, loss of records on estate closure, and a case-by-case adjudication model with no caseload management",Undocumented and stateless persons of Indian origin born in Malaysia,"Malaysian-born; priority order: children of school age, students, persons with disabilities, elderly applicants, widows and single-parent households (Doc B Tab 4A)","One-stop JPN-JPM service desks in every state and federal territory, mobile registration teams to former estate settlements and urban-poor localities, and active case management to resolution",Ministry of Home Affairs (JPN),"Prime Minister's Department (delivery secretariat); Ministry of Education; Department of Social Welfare; state governments; legal-aid NGOs",1-2-3,"Verified caseload baseline published within 9 months; 15 one-stop desks operational; mobile teams deployed; monthly published case statistics",Reduction in the number of Malaysian-born persons of Indian origin without resolved documentation status and in median case cycle time,KPI-01,Not costed,Benchmarked,"Does not duplicate: JPN already adjudicates, but no case-management layer or published caseload exists. Runs on existing JPN adjudication authority",Verified opening caseload; current median cycle time; the legal-aid capacity required per case,High for the desks and case management. LOW for any clearance-rate guarantee - citizenship is a Ministerial discretion,RETAIN redesigned
PRG-02,Both,Early Childhood Access Programme,P1 Foundations,"Children from low-income Indian households enter Year One materially less prepared, and the gap compounds","Cost, transport and information barriers to preschool enrolment; no Indian-specific enrolment audit exists",Children aged 4-5 in low-income Indian households,"Household income in the bottom 40% by DOSM definition; needs-based, applied on income not ethnicity, with outreach targeted to communities with low enrolment","Enrolment fee subsidy, transport support and meal support delivered through existing registered preschool platforms (KEMAS, PERPADUAN, MOE preschools and registered private providers), with SJKT and community organisations as the referral channel",Ministry of Education,"KEMAS (Ministry of Rural and Regional Development); Department of National Unity; state education departments; community organisations",1-2-3,"Baseline enrolment audit in Year 1; subsidised places rising to approximately 12,800 children per year by Phase 3; annual school-readiness screening",Higher preschool participation and improved school-readiness at Year One entry among low-income Indian children,KPI-02,"90% enrolment; at least 40,000 subsidised places",Benchmarked,"Runs on existing national preschool platforms; adds a targeted subsidy and outreach layer. Overlaps with existing preschool fee assistance - the subsidy must be net of any assistance already received",Actual current enrolment rate for this cohort; provider capacity by district; unit fee variation by provider type,High. Delivery capacity exists; the constraint is enrolment outreach and subsidy administration,RETAIN recalculated
PRG-03,Both,SJKT Safety and Learning Environment Programme,P1 Foundations,"Physical condition and digital capability vary widely across the 528 SJKT, and no complete audited condition record exists","Historic under-capitalisation of national-type schools and a maintenance model that responds to applications rather than to audited condition",All 528 national-type Tamil primary schools,All SJKT; remediation prioritised strictly by audited safety risk,"Condition audit of every SJKT, a published prioritised remediation schedule, safety-critical works, digital learning facilities and a trained coordinator per school",Ministry of Education,"Public Works Department; state education departments; school boards and PIBG; MITRA (equipment)",1-2-3,"528 condition audits completed and published in Phase 1; prioritised remediation schedule published; safety-critical works completed; digital facility and trained coordinator in every SJKT",Every SJKT meets a defined safety and learning-environment standard,KPI-03,"RM50m maintenance (existing); no incremental cost stated",Benchmarked,"Substantially overlaps the existing national dilapidated-schools programme and the RM50m SJKT maintenance line. MIB 2.0 funds only the audit, the digital layer and the incremental safety gap not covered by existing programmes",The SJKT share of the national dilapidated-schools programme (VAL-11); the actual condition distribution across the 528 schools,"High. This is conventional public works with an established delivery agency; the risk is scheduling, not capability",RETAIN scoped
PRG-04,Doc B,Multi-Faith Community Institution Safety and Compliance Programme,P1 Foundations,"Faith-based and community institutions serving Malaysian Indian communities face unaddressed safety, accessibility and regulatory-compliance problems; temples affected by estate displacement also face distinct tenure, relocation and registration issues","Facilities are often built and maintained by community subscription without access to public safety-capital programmes; legal and administrative pathways differ by institution and faith, while some temples occupy land with unresolved tenure","Faith-based and community institutions serving Malaysian Indian communities in high-need localities, including Hindu temples, mosques and surau serving Indian Muslim communities, churches, Sikh gurdwaras, Baha'i facilities and other eligible institutions","Documented education, welfare, youth, elderly, cultural or other public-interest community service; demonstrated safety, accessibility or compliance need; participation is voluntary and requires state, institutional and any applicable religious-authority consent; eligibility is needs-based with no fixed allocation by religion","Common track: joint safety, accessibility and compliance audit plus matched funding for safety-critical works. Differentiated track: documentation and referral of temple and estate-legacy tenure, relocation and registration cases to competent state authorities. Institution-specific coordination follows the relevant legal and religious-administration regime. Funding excludes worship, proselytisation, ceremonies, devotional fixtures and doctrinal activity",Ministry of National Unity,"Department of National Unity and National Integration; state governments and local authorities; Public Works Department; Fire and Rescue Department; relevant Islamic religious authorities; Hindu, Christian, Sikh, Baha'i and other representative or trustee bodies",1-2-3,"Multi-faith facility map and consent framework completed; participating institutions audited; prioritised safety works list and recipient grants published by institution type; safety-critical works completed with matched funding; temple and estate-legacy documentation compiled for state referral","Participating institutions meet defined safety and accessibility standards and can lawfully continue eligible community-service functions; distinct temple and estate-legacy cases enter a documented state-referral pathway",KPI-04,Not costed,Provisional,"No single federal programme covers this multi-faith scope. Jurisdictionally sensitive: land, local government and religious institutions operate under differentiated state legal and administrative regimes","Verified number and type of eligible institutions; state and religious-authority consent requirements; faith-type distribution; split between common safety works and temple or estate-legacy referral; revised cost envelope","MODERATE-LOW. Delivery depends on state and institution-specific consent. The current 1,200-facility and RM44.400m assumptions pre-date a verified multi-faith map and must be recalibrated. Federal support must be confined to life safety, accessibility, compliance and documented public-interest community-service spaces—not religious practice",RETAIN redesigned as multi-faith
PRG-05,Doc B,School-to-Pathway Guidance and Placement Support,P2 Progression,"Students complete SPM without a structured understanding of available pathways and qualified candidates lose places through incomplete or late applications","Career guidance capacity is thin in the schools serving this population, and admissions systems assume informed applicants",Indian students in the two years before completing secondary education,All Indian students in participating schools; intensive support prioritised by household income,"Structured career profiling in Form 4-5, application clinics for matriculation, university, polytechnic, community college and TVET admissions, and follow-through to placement confirmation",Ministry of Education,"Ministry of Higher Education; state education departments; TVET institutions; professional associations",1-2-3,"Career profiling delivered to participating cohorts; application clinics held in each state; placement outcomes published by pathway",Higher proportion of Indian SPM leavers entering a confirmed post-school pathway within twelve months,KPI-05,Not costed,Benchmarked,"Complements existing MOE career guidance; adds capacity and follow-through rather than a parallel service",Current post-SPM destination data for this cohort - which does not exist and is itself a first deliverable,High. Low-cost and administratively simple,RETAIN
PRG-06,Both,TVET and STEM Progression Pipeline,P2 Progression,"Young people leave school into low-wage work with no structured route into skilled employment; training is not connected to employment outcomes","Training is funded by seat rather than by outcome, with no retention or employment tracking and no stipend, so low-income trainees cannot afford to complete",Indian SPM leavers not proceeding to tertiary education,"SPM completion; household income in the bottom 40%; commitment to the full programme including tracking","Training seats in existing accredited TVET and STEM institutions, a completion stipend, employer-linked apprenticeships, and mandatory tracking from intake through certification to twelve months of employment",Ministry of Human Resources,"Ministry of Higher Education; TVET institutions; Ministry of Education; employers and GLCs; HRD Corp",1-2-3,"Approximately 5,000 enrolees in Phase 1, 10,000 in Phase 2 and 15,000 in Phase 3 (30,000 cumulative); apprenticeship placements; a published tracking series",Higher certified completion and employment at or above the indexed wage threshold twelve months after certification,KPI-06,"15,000 by Year 4; 30,000 by Year 6",Benchmarked,"Runs on existing accredited TVET capacity and the Cabinet-agreed easy-path decision. Adds stipend, apprenticeship brokerage and tracking. Must not duplicate HRD Corp-funded employer training",Current Indian TVET enrolment and completion rates; employer apprenticeship appetite by sector,MODERATE-HIGH. Seat capacity exists; the constraint is employer apprenticeship supply and tracking discipline,RETAIN
PRG-07,Both,Tertiary Access Navigation and Transparency,P2 Progression,"Access to matriculation and other pre-university pathways is contested and the underlying intake data are not published in disaggregated form, so neither the community nor government can verify the position","Absence of published disaggregated intake data makes the actual constraint unidentifiable, and competing unverified figures circulate",Qualified Indian applicants to matriculation and other pre-university pathways,Qualified applicants; navigation support prioritised by household income,"Publication of an annual disaggregated intake and offer series; applicant navigation support; a review of pathway adequacy reported to the Task Force",Ministry of Education,Ministry of Higher Education; matriculation colleges; Public Service Department (scholarships),1-2-3,"Annual published intake and offer series by pathway; navigation support delivered; adequacy review tabled",Qualified applicants are not lost to the system for informational or procedural reasons; the actual constraint becomes visible and addressable,KPI-07,"1,116-seat sub-quota; at least 2,000 offers per intake",Benchmarked,"No duplication. The 90:10 framework is unchanged and no additional seats are requested - this programme requests transparency and navigation, not reallocation",Verified Indian matriculation offer and intake series (VAL-05); the true attrition point between qualification and enrolment,"High for transparency and navigation. The seat-count question is deliberately left to evidence, not asserted",RETAIN reframed
PRG-08,Doc B,Professional Entry and Mentoring,P2 Progression,"Graduates without professional networks convert qualifications into professional employment at lower rates","Network dependence in professional entry, especially in law, finance, medicine and technology",Indian graduates entering professional fields,Graduates within three years of completion; prioritised by household income,"Structured mentoring by established professionals, professional-association placement partnerships, and preparation for professional entry examinations",Ministry of Higher Education,"Professional associations; universities; employers; Ministry of Human Resources",2-3,Mentoring pairings established; placement partnerships signed; participants tracked to professional employment,Higher conversion from qualification to professional employment,KPI-08,Not costed,Provisional,Complements existing graduate employability programmes; the Indian-specific element is the mentor network,Baseline conversion rates; mentor supply,MODERATE. Depends on volunteer professional supply,RETAIN
PRG-09,Doc B,Household Progression Programme,P3 Livelihoods,"Households receive assistance from multiple agencies at different life stages without any coordination, so support relieves a problem without changing the household trajectory","Programme-centred rather than household-centred administration; no single household record; no follow-through","Low-income Indian households facing two or more simultaneous barriers","Household income in the bottom 40%; two or more concurrent barriers across documentation, education, employment, housing or debt; voluntary consent-based enrolment","A designated Progression Navigator per enrolled household at a caseload of 150 households, a single consent-based household progression record, coordinated referral to existing programmes, and periodic progress review",Prime Minister's Department (delivery secretariat),"Department of Social Welfare; Ministry of Human Resources; Ministry of Housing and Local Government; MITRA; state welfare departments",1-2-3,"Approximately 120 navigators and concurrent capacity for 18,000 households in Phase 1, rising to approximately 400 navigators and concurrent capacity for 60,000 households by Phase 3; cumulative reach depends on case duration and turnover; case-management system operational","Enrolled households demonstrate measurable movement in income stability, employment, savings or housing security",KPI-09,Not costed,Benchmarked,"Does not deliver benefits itself - it coordinates access to existing programmes. Overlaps conceptually with existing social-welfare case management, which must be mapped before deployment",Actual multi-barrier household counts; navigator recruitment and training pipeline; consent-and-privacy design,"MODERATE. Case management at this scale is demanding. Coverage is deliberately capped at approximately 10% of the estimated low-income household population, not universal",RETAIN capped
PRG-10,Both,Microenterprise Growth and Vendor Capability Programme,P3 Livelihoods,"Businesses receive financing but remain microenterprises, unable to meet the compliance, certification and scale requirements of larger markets and government supply chains","Financing addresses capital but not capability: compliance, certification, bid preparation and consortium formation are unaddressed",Indian-owned microenterprises and small businesses with growth potential,"Registered business; demonstrated trading history; growth intent; selection on capability assessment, not ethnicity alone","Structured business advisory covering financial management, compliance, digitalisation, quality certification and procurement readiness; consortium formation support; bid preparation assistance. Financing continues to run on existing TEKUN, SPUMI, AIM and BRIEF-i rails",Ministry of Entrepreneur and Cooperatives Development,"TEKUN Nasional; AIM; Bank Rakyat; SME Corp; MAICCI and KLSICCI; Ministry of Finance (procurement policy)",2-3,"Approximately 5,000 enterprises through structured advisory over six years; certified vendors registered; consortia formed; participation in federal procurement measured and published","Growth in enterprise revenue, employment and successful bids among participants",KPI-10,"500 certified vendors; 2% procurement share; RM100m contracts",Provisional,"No duplication of financing - MIB 2.0 adds no new lending facility. Overlaps with SME Corp vendor development, which must be used as the delivery vehicle rather than replicated",Baseline enterprise survival and growth rates; SME Corp capacity,"MODERATE. NOTE: the ethnic procurement set-aside and 2% participation quota in the source draft are REJECTED on Article 8 grounds; participation is measured and published, not mandated",RETAIN with quota removed
