risk_id,risk_category,risk_description,affected_programmes,likelihood,impact,inherent_rating,safeguard,residual_rating,owner,monitoring_trigger
RSK-01,delivery,"Quarterly Prime Ministerial chairmanship is not sustained beyond the first year, and the Task Force decays into an officials' committee with no convening power - the exact failure mode that defeated the MIB Implementation Unit and MITRA",PRG-15 and by dependency all others,High,Critical,Critical,"Chairmanship, quorum and meeting cadence written into the Cabinet decision and terms of reference; a standing calendar fixed twelve months ahead; automatic publication of the dashboard within 14 days whether or not the meeting is held, so non-convening is itself visible; a named Deputy Chair to preserve continuity without diluting authority",High,Prime Minister's Department,Any quarter in which the meeting is not held or is not chaired as constituted
RSK-02,legal,"Ethnically-defined eligibility for public benefits is challenged under Article 8 of the Federal Constitution, with the procurement and quota elements most exposed",PRG-10 and all programmes with ethnic eligibility,Medium,Critical,Critical,"The ethnic procurement set-aside and participation quota are REMOVED (CNF-024); eligibility for every material benefit is defined on NEEDS-BASED criteria (household income, documentation status, tenure insecurity) with outreach - not entitlement - targeted to the community; Attorney-General's Chambers clearance is sought before any instrument is issued (VAL-01)",Medium,Attorney-General's Chambers,Any drafting instruction that reintroduces ethnicity as an eligibility condition
RSK-03,constitutional,"Federal programmes encroach on state jurisdiction over land, local government or religious institutions operating under differentiated legal and administrative regimes",PRG-04 and PRG-12,High,Major,Critical,"Participation requires state, institutional and any applicable religious-authority consent, facility by facility and project by project; federal funding is religion-neutral and confined to life safety, accessibility, compliance and documented public-interest community-service spaces; worship, proselytisation, ceremonies, devotional fixtures and doctrinal activity are excluded; land-tenure findings are documented for referral rather than determined federally; institution-specific questions go to the competent state or religious authority",Medium,Ministry of National Unity; Ministry of Housing and Local Government,"Any state or competent religious authority declining to participate; any land determination attempted federally; or any grant financing excluded religious activity"
RSK-04,fiscal,"The incremental new funding requirement of approximately RM820 million over six years is not appropriated, or is appropriated only in part, leaving Phase 2 and 3 commitments unfunded",All,Medium,Critical,Critical,"Phase gating: Phase 2 scope is authorised only after the Phase 1 independent evaluation; no Phase 3 commitment is entered before Year 5 appropriation; each phase is separately costed so a phase can be scaled without stranding earlier investment; conservative scenario (RM1,188m) presented as the fallback operating envelope",High,Ministry of Finance,Any appropriation below the phase envelope in any supply year
RSK-05,fiscal,Existing-funding assumptions prove wrong - in particular the assumed 55% existing-funding share for SJKT works - and the true incremental requirement is materially higher than RM820 million,PRG-03 and PRG-06 and PRG-02,High,Major,Critical,Every existing-funding share is declared in COSTING_ASSUMPTIONS.csv and flagged as provisional; MOE confirmation of the SJKT share of the national dilapidated-schools programme is a gating validation item (VAL-11); the model is rebuilt from assumptions by script so any correction reprices the whole portfolio in one step,High,Ministry of Finance,MOE or MOF confirmation differing from the assumed share by more than 10 percentage points
RSK-06,data_protection,"Household and documentation records are linked or misused, chilling take-up among precisely the population the plan targets",PRG-01 and PRG-09,Medium,Critical,Critical,The documentation caseload system and the household progression record are SEPARATE systems with no automatic linkage (CNF-032); enrolment in the progression record is voluntary and consent-based; a Data Protection Impact Assessment is a Phase 1 gating deliverable and must be published before any household record operates; access logging and periodic audit,Medium,Prime Minister's Department,Any proposal to link the two systems or to use documentation status in benefit targeting
RSK-07,political,"The plan is characterised as ethnic preferential treatment, damaging both its prospects and inter-community relations",All,High,Major,Critical,"Needs-based eligibility throughout; explicit disclosure that Indian absolute poverty (5.4%, 2022) is BELOW the Bumiputera rate (7.9%), so the case is made on structural exclusion and adverse trend, not on relative deprivation; the delivery model is explicitly designed to be extensible to any community facing similar structural barriers; all electoral and partisan content removed (CNF-019, CNF-030)",Medium,Prime Minister's Department,Public characterisation of the plan as a quota or preference programme
RSK-08,measurement,"Eleven of sixteen KPIs have no baseline, so the plan could report activity for two years without being able to demonstrate outcome change",All,High,Major,Critical,Baseline establishment is the principal Phase 1 deliverable and is itself a KPI (KPI-16); no numeric outcome target is set where no baseline exists - the Year 2 target is the baseline itself; independent mid-term evaluation at end-Year 3 gates Phase 3,Medium,Prime Minister's Department,Any KPI without a published baseline at end of Year 1
RSK-09,delivery,"Delivery capacity in the lead ministries is already committed, and MIB 2.0 competes with existing priorities rather than being additive",All,High,Major,Critical,Every programme runs on an existing delivery agency rather than creating a new one; only the delivery secretariat and the navigator cadre are new establishment; programme volumes are deliberately capped below the source drafts' ambitions; phase gating allows scope reduction without failure,High,Chief Secretary to the Government,Any lead ministry reporting inability to resource its programme at the quarterly review
RSK-10,programme_design,The matched-savings instrument (PRG-11) cannot be established because PNB declines to participate or MOF does not approve the design,PRG-11,Medium,Major,Major,"PNB participation is sought, not assumed; the instrument is product-agnostic and can be delivered through an alternative qualifying savings product; the programme is classed Provisional and its RM200m central cost is explicitly at risk; a decision point is set at end of Year 1",Medium,Ministry of Finance,No agreed product design by end of Year 1
RSK-11,leakage,"Grants and subsidies are diverted, repeating the governance failures that have damaged confidence in community programmes",PRG-02 and PRG-04 and PRG-11 and PRG-12,Medium,Major,Major,Payments made to institutions and verified accounts rather than in cash where possible; published recipient lists for all grants above a threshold; annual Auditor-General audit tabled in Parliament; open competitive procurement; immediate referral of irregularities to the MACC; the delivery secretariat holds no programme funds,Low,National Audit Department,Any audit qualification or any grant paid outside published criteria
RSK-12,equity,"Support concentrates in accessible urban localities and misses estate-origin, rural and remote populations - the households with the greatest need",PRG-01 and PRG-02 and PRG-09,High,Major,Critical,"Mobile delivery is built into PRG-01 and enrolment outreach into PRG-02; all KPIs are disaggregated by state and, where relevant, by locality type; the quarterly dashboard reports geographic distribution so concentration is visible within one quarter",Medium,Prime Minister's Department,Any programme where the top three states exceed their share of the eligible population by more than 20 percentage points
RSK-13,exclusion,"Needs-based eligibility using documented household income excludes informal and undocumented households, who are the most vulnerable",PRG-02 and PRG-09 and PRG-11 and PRG-12,High,Major,Critical,"Alternative means-assessment pathways for households without formal income documentation, including community verification and social-welfare officer assessment; documentation status is explicitly NOT a barrier to PRG-01 or PRG-02 participation",Medium,Department of Social Welfare,Any programme where the proportion of applicants rejected for want of income documentation exceeds 10%
RSK-14,perverse_incentive,"Poverty graduation targets create pressure to exit households from support before they are stable, producing measured success and real harm",PRG-09,Medium,Major,Major,"Graduation is defined by movement in two or more domains sustained over 24 months, not by exit from assistance; re-entry is permitted without penalty; the independent evaluation specifically tests for premature exit",Low,Prime Minister's Department,Any rise in re-entry rates or in exits without sustained improvement
RSK-15,double_counting,"Reach figures are summed across programmes, overstating unique beneficiaries in public reporting",All,High,Moderate,Major,Reach and unique beneficiaries are modelled separately with a stated overlap factor (ASM-030); the machine-verification script tests for duplicate programme-beneficiary combinations; reach figures are never summed across programmes in the proposal or dashboard,Low,Prime Minister's Department,Any published figure that sums reach across programmes
RSK-16,evidence,"The plan's own baselines rest on 2014-vintage data and provisional derivations, and re-estimation materially changes programme scale",PRG-02 and PRG-09 and PRG-11,High,Major,Critical,"All 2014-vintage figures are labelled by year and are not used for present-day statements; DOSM re-estimation of the Indian low-income household count and child cohort are gating validation items (VAL-02, VAL-09); the costing model rebuilds from assumptions by script, so a corrected population reprices the portfolio deterministically",Medium,Department of Statistics Malaysia,Any DOSM re-estimate differing from the planning assumption by more than 20%
RSK-17,procurement,Capital works under PRG-03 and PRG-04 are let without competitive tender or to related parties,PRG-03 and PRG-04,Medium,Major,Major,All works follow standard Treasury procurement instructions with no exemption sought; award lists published; the prioritised remediation schedule is published in advance so departures from audited priority order are visible,Low,Ministry of Finance,Any award outside the published priority order or any direct negotiation
