legal_issue_id,domain,legal_authority,authority_source_ids,legal_question,provisional_design_position,required_written_clearance,clearance_owner,consulted_bodies,affected_programmes,affected_decisions,related_validation_ids,consequence_if_unresolved,clearance_stage,status,evidence_reference,acceptance_date
LGL-01,equality_and_targeting,"Federal Constitution Articles 8 and 153",SRC-019,"Whether needs-based eligibility combined with community-targeted outreach and disaggregated reporting is constitutionally permissible across the portfolio, and whether any instrument would amount to an impermissible ethnic entitlement or quota","Eligibility is based on need, barrier or institution-level public purpose; ethnicity informs outreach and measurement only; no Article 153 quota, ethnic procurement set-aside or guaranteed outcome is proposed","AGC opinion identifying the permissible eligibility, outreach, disaggregation and instrument-design boundaries and any provisions requiring redesign",Attorney-General's Chambers,"Prime Minister's Department; Ministry of Finance; all lead ministries","PRG-01;PRG-02;PRG-03;PRG-04;PRG-05;PRG-06;PRG-07;PRG-08;PRG-09;PRG-10;PRG-11;PRG-12;PRG-13;PRG-14;PRG-15;PRG-16","AN-04;CE-01;CE-03;CE-04;NA-07","VAL-01;VAL-30","No affected instrument may be submitted for implementation; any element not cleared must be removed or redesigned",pre_submission_clearance,open,,
LGL-02,education_non_discrimination,"Federal Constitution Article 12(1); Education Act 1996 [Act 550] and applicable education regulations",SRC-019,"Whether PRG-02, PRG-06 and PRG-07 assistance paid from public funds is designed and administered without prohibited racial discrimination, and within the powers of the responsible education bodies","Financial aid eligibility is needs- and programme-based, with no race-exclusive entitlement, seat reservation or altered academic standard; targeted outreach does not determine awards","AGC opinion and written MOE/MOHE confirmation of the lawful eligibility, selection, payment and appeal rules for each educational assistance instrument",Attorney-General's Chambers,"Ministry of Education; Ministry of Higher Education; Ministry of Finance","PRG-02;PRG-06;PRG-07","AN-04;CE-03;CE-04;NA-06;NA-07","VAL-05;VAL-30","The affected assistance instrument cannot launch or be included in an implementation decision until redesigned or cleared",pre_submission_clearance,open,,
LGL-03,public_service_impartiality,"Federal Constitution Articles 136, 139 and 144",SRC-019;SRC-027,"Whether public-service outreach, preparation, disaggregated reporting and advancement support preserve impartial treatment and the constitutional functions and independence of the relevant Service Commissions","PRG-13 and PRG-14 do not change entry, assessment, appointment, confirmation or promotion standards; they provide outreach, preparation, process transparency and general capability support","AGC opinion plus written confirmation from SPA and JPA defining the permissible programme boundary, data publication rules and non-interference safeguards",Attorney-General's Chambers,"Public Service Commission; Public Service Department; participating service commissions","PRG-13;PRG-14","AN-04;CE-03;CE-04;NA-06;NA-07",VAL-30,"No representation target or instrument affecting appointment or promotion may proceed; affected components must remain general outreach or be removed",pre_submission_clearance,open,,
LGL-04,citizenship_and_documentation,"Federal Constitution Part III including Articles 14, 15, 15A, 16 and 19; National Registration Act 1959 [Act 78]; Births and Deaths Registration Act 1957 [Act 299] and applicable regulations",SRC-019;SRC-020,"Whether PRG-01 case management, service standards, referral, status visibility and written reasons can operate without fettering statutory or constitutional discretion, creating an entitlement, or disclosing protected records","The programme may improve access, case administration and processing transparency but cannot direct, guarantee or deem a citizenship, registration or identity-document outcome","AGC and KDN/JPN legal matrix identifying which service commitments are permissible for each case type, who may decide, what reasons may be disclosed, and the review or complaint route",Attorney-General's Chambers,"Ministry of Home Affairs; National Registration Department; legal-aid bodies","PRG-01","AN-04;CE-03;CE-04;NA-06;NA-07","VAL-01;VAL-12","PRG-01 may not promise outcome clearance or adopt a service standard that fetters discretion; unclear case types must be excluded from launch",pre_submission_clearance,open,,
LGL-05,implementing_body_authority,"Federal Constitution Article 80 and Ninth Schedule; establishing statutes, administrative instruments and delegated-authority instruments of each implementing body",SRC-019,"Whether each lead and supporting body has legal and administrative authority to perform the assigned delivery, data, grant, referral and monitoring functions, and whether delegation or a new instrument is required","Each programme remains with its existing ministry and accounting officer; the Task Force coordinates and escalates but does not assume statutory functions, votes or delegated powers","Programme-by-programme written mandate certification by the responsible ministry legal adviser, accepted by AGC where authority is disputed or a new instrument is required",Attorney-General's Chambers,"All lead ministries; Chief Secretary to the Government; relevant statutory bodies and accounting officers","PRG-01;PRG-02;PRG-03;PRG-04;PRG-05;PRG-06;PRG-07;PRG-08;PRG-09;PRG-10;PRG-11;PRG-12;PRG-13;PRG-14;PRG-15;PRG-16","AN-03;AN-04;CE-01;CE-03;CE-04;NA-07","VAL-01;VAL-08;VAL-19;VAL-23","Any function without a certified legal route must be reassigned, narrowed, separately authorised or removed from the implementation package",pre_submission_clearance,open,,
LGL-06,task_force_and_delegation,"Federal Constitution and applicable machinery-of-government, financial-delegation and public-service instruments",SRC-019;SRC-022,"Whether Cabinet may constitute the proposed coordination bodies and reporting duties in the stated form, and which functions require separate statutory, establishment, financial or administrative authority","The interim arrangement uses existing functions and resources; a later Task Force is coordinating and accountable only, holds no programme funds and cannot direct independent, statutory or state authorities","AGC and KSN-approved terms of reference plus a delegation schedule that identifies powers retained by Cabinet, ministers, accounting officers, statutory bodies, Service Commissions and states",Attorney-General's Chambers,"Chief Secretary to the Government; Prime Minister's Department; Ministry of Finance; Public Service Department","PRG-15;PRG-16","AN-03;AN-04;CE-01;CE-04;NA-07","VAL-08;VAL-23;VAL-27","Only the interim coordination arrangement may operate; the permanent model and any unsupported reporting direction must be withheld or redesigned",pre_submission_clearance,open,,
LGL-07,public_finance_and_grants,"Federal Constitution Articles 97 to 104; Financial Procedure Act 1957 [Act 61]; applicable supply, development-expenditure and Treasury instruments",SRC-019;SRC-022;SRC-024,"Whether each proposed expenditure, grant, reallocation and matched-funding mechanism has a lawful appropriation, vote purpose, controlling officer, payment authority and accounting treatment","The indicative cost model creates no spending authority; every later component must identify an approved ceiling, funding source, vote, controlling officer and applicable grant or payment instrument","Treasury legal and financial memorandum, with AGC advice where a novel grant or matched-funding instrument is used, certifying the authority and controls for each Phase 1 component",Ministry of Finance,"Attorney-General's Chambers; Ministry of Economy; Accountant General's Department; affected accounting officers","PRG-02;PRG-03;PRG-04;PRG-06;PRG-07;PRG-09;PRG-11;PRG-12;PRG-15;PRG-16","AN-04;CE-02;CE-04;NA-01;NA-02;NA-03;NA-07","VAL-03;VAL-11;VAL-19;VAL-23;VAL-28","No expenditure, grant, reallocation or matched-funding commitment may be included without a certified financial route",pre_submission_clearance,open,,
LGL-08,public_procurement,"Government Procurement Act 2026 [Act 882], its commencement and transitional instruments; Financial Procedure Act 1957 [Act 61]; current Treasury Instructions and Treasury Circulars; Government Contracts Act 1949 [Act 120] where applicable",SRC-022;SRC-023;SRC-024,"Which procurement regime is in force for each contemplated purchase, works package, grant-procurement boundary and contract; whether Act 882 has commenced for the relevant body and transaction; and what transitional rules apply","No exemption, ethnic set-aside or preferred-vendor quota is proposed; all procurements use the applicable open, authorised and conflict-controlled process, with awards and deviations reported as law permits","MOF procurement-law memorandum confirmed by AGC, identifying Act 882 commencement, subsidiary and transitional instruments, thresholds, approval authorities, permitted methods, review routes and contract-signing authority",Ministry of Finance,"Attorney-General's Chambers; affected accounting officers; Works Department; implementing procurement units","PRG-03;PRG-04;PRG-09;PRG-10;PRG-12;PRG-15;PRG-16","AN-04;CE-03;CE-04;NA-07","VAL-01;VAL-28","No tender, quotation, direct negotiation, grant-funded works package or contract may begin until the applicable regime and authority are confirmed",pre_submission_clearance,open,,
LGL-09,government_data_governance,"Personal Data Protection Act 2010 [Act 709] section 3(1); applicable public-sector security, records, secrecy, archival and data-governance instruments",SRC-021;SRC-028,"Given that Act 709 does not apply to Federal and State Governments, what positive legal and administrative controls govern collection, linkage, access, retention, correction, disclosure, breach response and deletion for government-held MIB 2.0 data","Government exclusion from Act 709 is not treated as permission for unrestricted processing; purpose limitation, minimum necessary data, role-based access, separation of documentation and household systems, retention limits, correction and breach controls are design conditions","JDN-led public-sector data-governance opinion and AGC confirmation of the applicable instruments, lawful purposes, data-controller roles, data-subject safeguards, retention schedule and breach route",National Digital Department,"Attorney-General's Chambers; National Archives; Chief Government Security Office; data-owning ministries; DOSM","PRG-01;PRG-09;PRG-13;PRG-14;PRG-16","AN-04;CE-01;CE-03;CE-04;NA-07","VAL-24;VAL-25","No identifiable cross-agency dataset, dashboard or linked household record may operate; only non-identifiable design work may proceed",pre_submission_clearance,open,,
LGL-10,private_processors_and_partners,"Personal Data Protection Act 2010 [Act 709] as amended by the Personal Data Protection (Amendment) Act 2024 and applicable subsidiary instruments",SRC-021;SRC-028,"When private contractors, financial institutions, evaluators, civil-society partners or technology providers process programme data, which parties are data controllers or processors and which Act 709 duties apply","No data transfer to a non-government party occurs without an identified lawful role, purpose, minimum dataset, written processing terms, security obligations, breach duties, retention limits and audit rights","Written opinion from the responsible ministry legal adviser and Data Protection Officer, with JPDP or AGC confirmation where role allocation or statutory application is uncertain",Responsible ministry legal adviser,"Attorney-General's Chambers; Personal Data Protection Commissioner; National Digital Department; procurement units; proposed partners","PRG-01;PRG-08;PRG-09;PRG-10;PRG-11;PRG-12;PRG-16","AN-04;CE-03;CE-04;NA-04;NA-05;NA-07","VAL-16;VAL-19;VAL-24;VAL-25","The private-party processing or partnership component must be withheld, replaced with a lawful government route or redesigned using non-identifiable data",programme_launch_clearance,open,,
