programme_id,design_status,exclusions,delivery_channel,geographic_coverage,annual_volume,volume_status,complaints_and_appeals,data_collected,retention_and_access_rule,key_dependencies,stop_criteria,redesign_criteria,expansion_criteria,signoff_owner,signoff_status,evidence_reference,acceptance_date
"PRG-01","draft_pending_agency_confirmation","No guarantee of citizenship or documentation approval; no Task Force interference with statutory discretion; no linkage to the household poverty record without separate lawful authority and consent","JPN one-stop desks; mobile registration teams; case-management and lawful referral through existing JPN decision routes","All states and federal territories through 15 proposed desks, subject to JPN capacity confirmation","15 proposed desks; annual case throughput cannot be set until the opening caseload and cycle-time baseline is accepted","provisional_baseline_required","JPN complaint channel plus a documented case-status review and escalation route; review concerns process and reasons, not substitution for the competent decision-maker","Applicant identity and contact data; application category; submitted evidence; procedural status; decision category and reasons; service timestamps","Dataset-specific schedule under LGL-09 to LGL-11; minimum necessary access; documentation data kept separate from PRG-09; retention period, correction, disclosure and deletion rules require written approval","VAL-06; VAL-12; legal-aid capacity; JPN staffing and system access; LGL-04; LGL-09 to LGL-11; FIS-04; FIS-05","Stop intake expansion if JPN lacks lawful access, authorised staff, secure case controls or a functioning escalation route; suspend any data linkage not expressly authorised","Redesign volumes, desk footprint and service standards after VAL-12; remove any service commitment that fetters discretion or exceeds verified capacity","Expand only after verified throughput and cycle-time improvement, secure data controls, JPN capacity acceptance and an approved costed staffing model","Secretary-General Ministry of Home Affairs","pending","",""
"PRG-02","draft_pending_agency_confirmation","No guaranteed preschool place; no duplicate subsidy; no ethnicity-only eligibility rule; no payment to unregistered providers","Referral through schools and community channels into MOE, KEMAS, PERPADUAN and registered private preschool platforms; subsidy, transport and meal support through an approved inter-agency protocol","National, phased by district-level eligible cohort and verified registered-provider capacity","Central planning case: approximately 6,400 places per year in Phase 1, 11,200 in Phase 2 and 12,800 in Phase 3","provisional_validation_required","Lead-provider complaint channel plus MOE review for eligibility, duplicate-assistance or payment errors; written reason and onward referral where another provider is responsible","Child and guardian identifiers; age; household-income evidence or approved alternative assessment; provider; attendance; assistance received; readiness assessment","Minimum necessary child record; role-based provider access; no sharing beyond approved enrolment, payment and evaluation purposes; retention and correction schedule requires MOE and data-governance approval","VAL-09; district provider capacity; inter-agency subsidy protocol; LGL-02; LGL-07; FIS-05; FIS-08","Do not launch in a district without verified provider capacity, lawful eligibility rules, duplicate-payment controls and an approved payment route","Recalibrate cohort, participation, support mix and unit cost after VAL-09 and provider market testing","Expand only where enrolment and readiness evidence shows need, provider quality and capacity are verified, and Treasury accepts the added component cost","Secretary-General Ministry of Education","pending","",""
"PRG-03","draft_pending_agency_confirmation","No presumption that national dilapidated-school funds are available; no works before condition, land, procurement and funding checks; no automatic equal grant per school","MOE-led condition audit; PWD technical assessment and works route; state education departments, boards and PIBG support; MITRA limited to confirmed eligible equipment","All 528 SJKT nationally; works prioritised by audited safety risk and lawful site access","Phase 1: 528 audits; central model assumes approximately 158 schools remediated across six years, with annual works volume set only after the audit","provisional_audit_required","MOE school-works complaint channel with recorded technical review, prioritisation reason and procurement-integrity escalation; safety emergencies follow existing statutory channels","School identity; site and tenure status; condition and risk rating; works scope; procurement, contractor and payment record; completion certification; digital-facility status","Institutional works records only; role-based access; public reporting aggregated except for published works schedules; retention follows approved MOE/PWD works and procurement schedules","VAL-11; completed condition audit; land/site authority; PWD capacity; LGL-08; FIS-05; FIS-08; FIS-09","Stop works at any site lacking lawful access, technical certification, approved procurement route or funding; suspend contractor for integrity or safety breach","Reprioritise scope and reprice after the 528-school audit and VAL-11; remove components already funded elsewhere","Expand beyond safety-critical works only after audit evidence, completion performance, verified capacity and a Treasury-approved rolling works plan","Secretary-General Ministry of Education","pending","",""
"PRG-04","draft_pending_agency_confirmation","No worship, proselytisation, ceremony, devotional fixture or doctrinal expenditure; no federal decision on title, relocation or religious governance; no work without facility-specific consent","JPNIN-coordinated facility mapping and audit; state, local, fire, works and religious-authority approvals; matched grant for eligible safety works; legacy matters documented for referral only","Opt-in by state and institution; facility- and jurisdiction-specific clearance, with non-consenting or uncleared jurisdictions excluded","Central planning assumption: up to 1,200 audits and approximately 400 priority safety-work grants over six years; no annual commitment before the multi-faith map","provisional_map_and_consent_required","Published eligibility and works-review channel through the Ministry of National Unity; facility may seek reasoned reconsideration; jurisdictional or religious questions referred to the competent state body","Institution profile and public-service function; governing regime needed for routing; consent; safety and accessibility findings; works, grant and referral status; no beneficiary religious-affiliation data","Institution-level minimum data only; no worshipper or beneficiary faith data; disclosure, retention and publication rules require LGL-18 clearance; state-specific sharing protocol applies","VAL-13; LGL-12 to LGL-18; facility and state consent; verified facility map; contractor and partner capacity; FIS-08; FIS-09","Exclude or stop any facility without all competent consents, lawful public purpose, approved expenditure category, procurement controls or safe delivery route","Redesign by jurisdiction and institution type after the facility map; separate or remove any pathway that cannot be lawfully administered","Expand only jurisdiction by jurisdiction after written clearance, consent, verified demand, completed pilot works, audit acceptance and a Treasury-approved grant ceiling","Secretary-General Ministry of National Unity","pending","",""
"PRG-05","draft_pending_agency_confirmation","No admission guarantee; no alteration of institutional selection criteria; no unsupported destination target","School-based career profiling and application clinics with follow-through through MOE, MOHE and TVET admissions interfaces","Participating secondary schools nationally, prioritised after the cohort and destination baseline","Central planning case: approximately 20,000 students supported per year; volume is provisional pending VAL-14","provisional_baseline_required","MOE school-guidance complaint channel plus application-error review and no-wrong-door referral to the institution controlling the relevant application","Student contact and school data; pathway preferences; application milestones; offers, acceptance and confirmed destination; limited household-income band for prioritisation","Minimum necessary education-transition record; approved MOE/MOHE/TVET sharing agreement; defined correction and retention schedule before longitudinal tracking","VAL-14; MOE/MOHE/TVET data-sharing; school counsellor capacity; LGL-05; FIS-05","Stop publication of outcome claims if destination matching is incomplete or materially biased; do not operate a pathway without a responsible receiving agency","Recalibrate school coverage, counsellor workload and volume after the first official cohort and destination series","Expand only after verified application completion and destination data demonstrate benefit and participating agencies confirm capacity","Secretary-General Ministry of Education","pending","",""
"PRG-06","draft_pending_agency_confirmation","No guaranteed certification, apprenticeship or employment; no duplicate payment for training already funded by HRD Corp or another scheme","Existing accredited TVET and STEM providers; completion stipend through an approved payment route; employer-linked apprenticeships; tracked certification and employment verification","National, phased by verified provider seats and employer demand by sector and region","Central planning case: approximately 2,500 entrants per year in Phase 1, 5,000 in Phase 2 and 7,500 in Phase 3","provisional_capacity_required","Provider complaint and assessment-appeal channel plus ministry escalation for stipend, placement or tracking errors; employment disputes remain with competent labour channels","Participant eligibility and contact data; training, attendance, stipend, assessment and certification record; apprenticeship; consented employment verification and wage band","Provider-to-ministry data schedule; minimum necessary employment matching; defined access, correction, retention and deletion rules before EPF or SOCSO matching","VAL-15; accredited seat supply; employer commitments; LGL-02; LGL-07; FIS-05; FIS-08; FIS-09","Stop new cohorts where accredited seats, stipend funding, safeguarding, employer placements or tracking capacity are not confirmed; stop a provider for material quality or integrity breach","Reduce sector, regional or cohort scope to verified capacity; revise stipend, apprenticeship and outcome design after early-cohort evidence","Expand only after completion, placement and wage outcomes are verified, employer demand persists and unit costs and capacity are accepted","Secretary-General Ministry of Human Resources","pending","",""
"PRG-07","draft_pending_agency_confirmation","No additional seat, sub-quota, offer or admission guarantee; no change to the 90:10 framework; no publication of unverified intake claims","MOE publication of the official intake and offer series; applicant navigation through existing matriculation and pre-university application channels","National applicant service, with outreach prioritised by verified procedural attrition and household need","Central planning case: approximately 10,000 applicants supported per year; recalibration required after VAL-05","provisional_official_series_required","MOE applicant-support channel for procedural errors and status questions; written referral to the institution controlling the decision; no merits appeal outside existing admission rules","Applicant qualification and contact data; pathway and application status; offer, acceptance and enrolment outcome; support interaction","Minimum necessary admissions-navigation record; approved cross-institution sharing and publication rules; retention and correction schedule before launch","VAL-05; official data definitions; MOE/MOHE cooperation; LGL-02; LGL-07; FIS-05; FIS-08","Stop any seat or conversion claim not supported by the accepted official series; suspend navigation where staff lack authorised system access","Redesign support around the verified attrition point and remove any representation that implies reserved places","Expand only after sustained official publication, verified procedural-loss reduction and confirmed service capacity","Secretary-General Ministry of Education","pending","",""
"PRG-08","draft_pending_agency_confirmation","No guaranteed professional placement, licensing outcome or employment; no reliance on unvetted mentors","MOHE-coordinated mentor network through universities, professional bodies and employers; structured matching, preparation and placement brokerage","Phase 2 launch in participating institutions and fields with verified mentor supply; national expansion is conditional","Central planning case: approximately 1,250 graduates mentored per year in Phases 2 and 3","provisional_partner_capacity_required","Programme complaint and rematching channel; safeguarding escalation; licensing and employment decisions remain with the competent professional body or employer","Graduate profile and consent; field and qualification; mentor eligibility and matching; interactions; placement and tracer outcome","Minimum necessary mentoring record; safeguarding access controls; partner data agreement; retention, correction and deletion schedule approved before matching","VAL-16; signed partner commitments; mentor eligibility and safeguarding protocol; LGL-10; FIS-05","Stop matching where mentor vetting, safeguarding, consent, supervision or complaint handling fails; suspend a partner for material breach","Pilot by field and institution; reduce ratio or geography to available qualified mentors and redesign low-supply fields","Expand only after mentor supply, safe operation, participant retention and tracer outcomes are independently verified","Secretary-General Ministry of Higher Education","pending","",""
"PRG-09","draft_pending_agency_confirmation","Navigators do not approve benefits or replace agency decisions; no compulsory enrolment; no linkage to PRG-01 documentation records","Consent-based referral and case coordination through a proposed JPM delivery secretariat and named progression navigators, using existing agency programmes","National phased service through approved state or regional entry points; exact footprint subject to establishment and caseload validation","Central planning capacity: 120 navigators and 18,000 concurrent households in Phase 1; 280 and 42,000 in Phase 2; 400 and 60,000 in Phase 3","provisional_establishment_and_baseline_required","Named case owner; status visibility; written referral or closure reason; lead-secretariat complaint and escalation route; benefit decisions reviewed only by the responsible statutory agency","Household identity and contact; consent; barrier and referral taxonomy; service interactions; agency status; limited outcome measures across income, employment, savings and housing","Separate consent-based household record; no documentation-case linkage; purpose-specific role access; retention, correction, withdrawal and deletion rules require DPIA and approval under LGL-09 to LGL-11","VAL-17; VAL-23; VAL-25; navigator establishment and training; agency referral agreements; LGL-09 to LGL-11; FIS-04; FIS-09","Stop enrolment if establishment, DPIA, consent, secure system, referral commitments or complaint route is absent; pause exits where premature graduation risk is detected","Recalibrate caseload, barrier taxonomy, service footprint and progression rules after the opening baseline and pilot evaluation","Expand only after safe caseload performance, accepted outcome evidence, agency capacity and an approved recurrent staffing ceiling","Chief Secretary to the Government","pending","",""
"PRG-10","draft_pending_agency_confirmation","No new lending facility; no procurement set-aside, quota, award guarantee or preferential bid treatment; no duplication of SME Corp or TEKUN advisory","Structured advisory through SME Corp and existing enterprise-development rails; certification, consortium and bid-readiness support; procurement outcomes measured only","Phase 2 launch through participating SME Corp and ministry channels; geographic allocation follows verified enterprise demand and provider capacity","Reconciled central planning case: approximately 5,000 enterprises over Phases 2 and 3, or about 1,250 per year","provisional_capacity_required","Provider complaint channel plus ministry review for eligibility, service quality or certification error; procurement challenges remain within the applicable procurement review mechanism","Enterprise identity, ownership and registration; capability assessment; service and certification record; consented revenue, employment and procurement-outcome data","Commercially sensitive data minimised and role-restricted; consented linkage only; partner retention and disclosure schedule approved before collection","VAL-18; SME Corp delivery capacity; procurement-data access; LGL-08; LGL-10; FIS-05; FIS-08","Stop any representation of reserved awards; stop or suspend a provider for conflict, related-party, integrity or material service-quality failure","Reconcile demand and provider capacity after VAL-18; change cohort size or service intensity to the validated unit cost without creating a financing scheme","Expand only after verified capability, survival or growth outcomes, provider capacity and lawful procurement-data reporting","Secretary-General Ministry of Entrepreneur and Cooperatives Development","pending","",""
