claim_id,source_document,source_location,verbatim_or_close_claim,claim_type,population_scope,geography,reference_period,cited_source,verification_status,source_id,conflict_id,adopted_treatment,notes
CLM-001,Action Plan,S1.1.1 / Exec Summary,"IB40: approximately 227,600 Indian B40 households, 39% of all Indian households",baseline_statistic,Indian households in the bottom 40% national income segment,Malaysia,2014 (HIS 2014),"MIB, 2017",source-verified,SRC-001,CNF-001,"Adopt as a 2014-vintage baseline ONLY, explicitly labelled; must not be presented as a 2026 baseline","MIB 2017 p.95 note 208: 'the remaining 39% or approximately 227,600 Indian households in the B40 income segment'. Underlying data HIS 2014."
CLM-002,Action Plan,S1.1.1 / Exec Summary / S4.5.1,"IB40 mean income RM2,672 per month",baseline_statistic,Indian B40 households,Malaysia,2014 (HIS 2014),"MIB, 2017",source-verified,SRC-001,CNF-001,Adopt as 2014 baseline only; superseded for current use by DOSM HIES 2022,"MIB 2017 p.16 and p.94 chart: Indian B40 mean monthly gross household income RM2,672 (2014). Doc A uses it as a live 2026 income floor - rejected for that use."
CLM-003,Action Plan,S1.1.1,"Median Indian household income RM4,627 (HIS 2014)",baseline_statistic,Indian households,Malaysia,2014,HIS 2014,source-verified,SRC-001,CNF-001,Replace with DOSM HIES 2022 for any current statement,"MIB 2017 p.94 note 207: Indian median RM4,627 vs national RM4,585, Bumiputera RM4,214, Chinese RM5,708 (2014)."
CLM-004,Recalculated,Stage 2,"Indian mean monthly household income RM8,950 (2022); national median RM6,338 (2022)",baseline_statistic,Indian households,Malaysia,2022,DOSM HIES 2022,source-verified,SRC-002,CNF-001,Adopt as the current income reference,Replaces CLM-002/CLM-003 for present-day statements. Mean and median are not interchangeable - see ASM-004.
CLM-005,Recalculated,Stage 2,"Absolute poverty incidence: Indian 5.4% (2022) up from 4.8% (2019); Bumiputera 7.9%; Chinese 1.9%",baseline_statistic,All households by ethnic group,Malaysia,2022,DOSM Poverty in Malaysia 2022,source-verified,SRC-003,CNF-002,"Adopt and disclose prominently, including that Indian absolute poverty is below the Bumiputera rate","Materially changes the case: justification cannot rest on aggregate poverty superiority. It rests on specific structural exclusions (documentation, pipeline, asset base) and on the rising trend 4.8% to 5.4%."
CLM-006,Action Plan,S1.1.1,Malaysian Indians constitute approximately 6-7% of the national population,baseline_statistic,Malaysian Indians,Malaysia,2023-2026,none cited,source-verified,SRC-004,CNF-003,Adopt as approximately 6.5% of the population (2024) on a declining trend from 6.6% (2023),Whether the share is of total population (34.4m in 2026) or of citizens (31.0m) is not disambiguated - definitional validation item VAL-04.
CLM-007,Action Plan,S1.1.2 / S2.2.1 / S4.3,Indians hold only 3.7% of civil service positions (2024) against the MIB 7% target,baseline_statistic,Federal civil service excluding RMP and MAF,Malaysia,as at 31 Dec 2024,current statistics,source-verified,SRC-005,,Adopt with the exclusion stated explicitly,"JPA/HRMIS: 1,302,429 civil servants excluding police and armed forces; Indians 3.7%. Doc A omits the exclusion, which overstates comparability with a population share."
CLM-008,Action Plan,S2.2.1 / S4.3,MIB committed to at least 7% Indian participation at all grade levels within 10 years without compromising entry standards,institutional_claim,Federal civil service,Malaysia,2017-2026,"MIB, 2017",source-verified,SRC-001,,Adopt as the historic MIB target; do not re-adopt as a MIB 2.0 target without redesign,"MIB 2017 p.118 and p.129, exact wording confirmed. The 10-year window expires in 2026."
CLM-009,Recalculated,Stage 2,"JPA states the ethnic composition gap is driven principally by very low non-Malay application volumes, while non-Malay applicants record the highest appointment success rates each year",causal_claim,Federal civil service applicants,Malaysia,2024-2025,JPA Director-General via BERNAMA,source-verified,SRC-005,CNF-004,Adopt; this reframes the civil service intervention from selection bias to application supply,Directly contradicts the implication in Doc A that the gap is primarily a selection/panel problem. Determines the design of PRG-13.
CLM-010,Action Plan,S1.1.2 / S2.2.2 / S4.2,MIB pledged to resolve documentation of approximately 25000 undocumented and stateless Indians within five years,institutional_claim,Undocumented or stateless persons of Indian origin,Malaysia,2017-2022,"MIB, 2017",source-verified,SRC-001,CNF-005,"Adopt as the MIB target; treat 25,000 as an ESTIMATE not a verified caseload","MIB 2017 p.23: 'an estimated 25,000 Indians that are either stateless or have documentation issues'; p.118 target wording confirmed. The word 'estimated' is load-bearing and is dropped in Doc A."
