requirement_id,stage_id,stage_name,controlled_requirement,prompt_provenance,prompt_fidelity,evidence_files,verifier_checks,pr_number,head_commit,merge_commit,internal_status,external_status
S1-R01,SR-01,Document integrity,"Reconcile proposal and annex figures to canonical registers and prevent authored headline drift","PR #2 body; AUDIT_LOG.md Stage 1; retained conversation summary dated 2026-08-10",reconstructed_from_preserved_evidence_not_verbatim,"COSTING_MODEL.csv;MIB_2.0_EXECUTIVE_PROPOSAL.md;TECHNICAL_ANNEXES.md","[12];[12d];[12e];[12f]",2,cf2801d4e22fc8179ed693bb20179b13105e2654,9a87816ff3eda217d05b9f1cd66eac6e8042ee82,internally_verified,not_applicable
S1-R02,SR-01,Document integrity,"Generate duplicated financial and phase tables deterministically from canonical sources","PR #2 body; AUDIT_LOG.md Stage 1",reconstructed_from_preserved_evidence_not_verbatim,"sync_document_integrity.py;MIB_2.0_EXECUTIVE_PROPOSAL.md;TECHNICAL_ANNEXES.md","[12]",2,cf2801d4e22fc8179ed693bb20179b13105e2654,9a87816ff3eda217d05b9f1cd66eac6e8042ee82,internally_verified,not_applicable
S1-R03,SR-01,Document integrity,"Standardise programme, KPI, risk, validation and strict-gate counts and clarify the Year 2 and Year 3 gates","PR #2 body; AUDIT_LOG.md Stage 1",reconstructed_from_preserved_evidence_not_verbatim,"PROGRAMME_REGISTER.csv;KPI_REGISTER.csv;RISK_AND_SAFEGUARD_REGISTER.csv;VALIDATION_REGISTER.csv","[12b];[12c]",2,cf2801d4e22fc8179ed693bb20179b13105e2654,9a87816ff3eda217d05b9f1cd66eac6e8042ee82,internally_verified,not_applicable
S1-R04,SR-01,Document integrity,"Expand verification to detect cross-reference, narrative and financial drift","PR #2 body; AUDIT_LOG.md Stage 1",reconstructed_from_preserved_evidence_not_verbatim,"verify_outputs.py;VERIFICATION_RESULTS.md","[2b];[12c];[12d]",2,cf2801d4e22fc8179ed693bb20179b13105e2654,9a87816ff3eda217d05b9f1cd66eac6e8042ee82,internally_verified,not_applicable
S2-R01,SR-02,Cabinet decision scope,"Separate five approve-now decisions, four conditional endorsements and seven express deferrals","PR #3 body; AUDIT_LOG.md Stage 2; STATUS.md Stage 2",reconstructed_from_preserved_evidence_not_verbatim,"DECISION_REGISTER.csv;MIB_2.0_EXECUTIVE_PROPOSAL.md","[12a]",3,30bf112f47f9fe3aaae7421b1160657a1c8db06c,25e58767f31a9fbfaa8139f3bd372cb2eae07822,internally_verified,Cabinet_decision_pending
S2-R02,SR-02,Cabinet decision scope,"Treat the six-year central scenario as indicative and not as an approved envelope","PR #3 body; AUDIT_LOG.md Stage 2",reconstructed_from_preserved_evidence_not_verbatim,"DECISION_REGISTER.csv;CLAIMS_AND_FIGURES_REGISTER.csv;MIB_2.0_EXECUTIVE_PROPOSAL.md","[12a];[12e]",3,30bf112f47f9fe3aaae7421b1160657a1c8db06c,25e58767f31a9fbfaa8139f3bd372cb2eae07822,internally_verified,Cabinet_decision_pending
S2-R03,SR-02,Cabinet decision scope,"Prevent preliminary approval from authorising appropriations, reallocations, programme launch, permanent establishment or third-party commitments","PR #3 body; AUDIT_LOG.md Stage 2",reconstructed_from_preserved_evidence_not_verbatim,"DECISION_REGISTER.csv;MIB_2.0_EXECUTIVE_PROPOSAL.md","[12a]",3,30bf112f47f9fe3aaae7421b1160657a1c8db06c,25e58767f31a9fbfaa8139f3bd372cb2eae07822,internally_verified,Cabinet_decision_pending
S2-R04,SR-02,Cabinet decision scope,"Generate operative decision sections from one canonical register","PR #3 body; AUDIT_LOG.md Stage 2",reconstructed_from_preserved_evidence_not_verbatim,"DECISION_REGISTER.csv;sync_document_integrity.py","[12];[12a]",3,30bf112f47f9fe3aaae7421b1160657a1c8db06c,25e58767f31a9fbfaa8139f3bd372cb2eae07822,internally_verified,Cabinet_decision_pending
S3-R01,SR-03,Validation gates,"Classify all thirty validation items into five controlled gate categories","PR #4 body; AUDIT_LOG.md Stage 3; STATUS.md Stage 3",reconstructed_from_preserved_evidence_not_verbatim,"VALIDATION_REGISTER.csv;ASSUMPTIONS_AND_DECISIONS.md","[13]",4,9e473681c914895bc61e78dd2c7e8676c9108e66,01947887080c896a91e0d0f0844b94f465e3528c,internally_verified,thirty_evidence_items_pending
S3-R02,SR-03,Validation gates,"Preserve six strict gates and four decision-dependent critical items","PR #4 body; AUDIT_LOG.md Stage 3",reconstructed_from_preserved_evidence_not_verbatim,"VALIDATION_REGISTER.csv;MIB_2.0_EXECUTIVE_PROPOSAL.md","[13a]",4,9e473681c914895bc61e78dd2c7e8676c9108e66,01947887080c896a91e0d0f0844b94f465e3528c,internally_verified,thirty_evidence_items_pending
S3-R03,SR-03,Validation gates,"Give every item an owner, evidence requirement, deadline, escalation, financial consequence, decision link and controlled status","PR #4 body; AUDIT_LOG.md Stage 3",reconstructed_from_preserved_evidence_not_verbatim,"VALIDATION_REGISTER.csv","[13];[13b]",4,9e473681c914895bc61e78dd2c7e8676c9108e66,01947887080c896a91e0d0f0844b94f465e3528c,internally_verified,thirty_evidence_items_pending
S3-R04,SR-03,Validation gates,"Apply a no-cascade rule so unresolved items block only mapped decisions or programmes","PR #4 body; AUDIT_LOG.md Stage 3",reconstructed_from_preserved_evidence_not_verbatim,"VALIDATION_REGISTER.csv;ASSUMPTIONS_AND_DECISIONS.md","[13b]",4,9e473681c914895bc61e78dd2c7e8676c9108e66,01947887080c896a91e0d0f0844b94f465e3528c,internally_verified,thirty_evidence_items_pending
S4-R01,SR-04,Legal clearances,"Maintain eighteen controlled constitutional, statutory, jurisdictional, data, finance and procurement issues","PR #5 body; AUDIT_LOG.md Stage 4; STATUS.md Stage 4",reconstructed_from_preserved_evidence_not_verbatim,"LEGAL_ISSUES_REGISTER.csv;ASSUMPTIONS_AND_DECISIONS.md","[14]",5,535779802a01e75ef67836a8b0a8630cabb000e0,bffd003ac63251b3545e3375742343305910a79b,internally_verified,eighteen_legal_dispositions_pending
S4-R02,SR-04,Legal clearances,"Separate ten pre-submission clearances from eight programme-launch clearances and cover every retained programme","PR #5 body; AUDIT_LOG.md Stage 4",reconstructed_from_preserved_evidence_not_verbatim,"LEGAL_ISSUES_REGISTER.csv;PROGRAMME_DESIGN_REGISTER.csv","[14a];[14b]",5,535779802a01e75ef67836a8b0a8630cabb000e0,bffd003ac63251b3545e3375742343305910a79b,internally_verified,eighteen_legal_dispositions_pending
S4-R03,SR-04,Legal clearances,"Represent no legal issue as cleared without competent-authority evidence and an acceptance date","PR #5 body; AUDIT_LOG.md Stage 4",reconstructed_from_preserved_evidence_not_verbatim,"LEGAL_ISSUES_REGISTER.csv","[14c]",5,535779802a01e75ef67836a8b0a8630cabb000e0,bffd003ac63251b3545e3375742343305910a79b,internally_verified,eighteen_legal_dispositions_pending
S4-R04,SR-04,Legal clearances,"Maintain six distinct PRG-04 pathways and treat current procurement commencement and transition as questions for MOF and AGC","PR #5 body; AUDIT_LOG.md Stage 4",reconstructed_from_preserved_evidence_not_verbatim,"LEGAL_ISSUES_REGISTER.csv;SOURCE_REGISTER.csv","[14b]",5,535779802a01e75ef67836a8b0a8630cabb000e0,bffd003ac63251b3545e3375742343305910a79b,internally_verified,eighteen_legal_dispositions_pending
S5-R01,SR-05,Treasury validation,"Maintain ten fiscal controls comprising five Phase 1 ceiling gates, four programme-cost gates and one later-phase gate","PR #6 body; AUDIT_LOG.md Stage 5; STATUS.md Stage 5",reconstructed_from_preserved_evidence_not_verbatim,"FISCAL_VALIDATION_REGISTER.csv;TECHNICAL_ANNEXES.md","[15];[15a]",6,fa6e56a09a9e40c9cb8a10a208819183278457c4,dcf8d75c33b95cb01cf7cf1e08c0da3f1f8429c9,internally_verified,ten_Treasury_controls_pending
S5-R02,SR-05,Treasury validation,"Generate a complete Phase 1 gross cost schedule from the live costing model","PR #6 body; AUDIT_LOG.md Stage 5",reconstructed_from_preserved_evidence_not_verbatim,"COSTING_MODEL.csv;TECHNICAL_ANNEXES.md","[15d];[15e]",6,fa6e56a09a9e40c9cb8a10a208819183278457c4,dcf8d75c33b95cb01cf7cf1e08c0da3f1f8429c9,internally_verified,ten_Treasury_controls_pending
S5-R03,SR-05,Treasury validation,"Do not mechanically convert six-year funding assumptions into a confirmed Phase 1 funding split or ceiling","PR #6 body; AUDIT_LOG.md Stage 5",reconstructed_from_preserved_evidence_not_verbatim,"FISCAL_VALIDATION_REGISTER.csv;MIB_2.0_EXECUTIVE_PROPOSAL.md","[15c];[15f]",6,fa6e56a09a9e40c9cb8a10a208819183278457c4,dcf8d75c33b95cb01cf7cf1e08c0da3f1f8429c9,internally_verified,ten_Treasury_controls_pending
S5-R04,SR-05,Treasury validation,"Represent no fiscal control as validated without MOF evidence and an acceptance date","PR #6 body; AUDIT_LOG.md Stage 5",reconstructed_from_preserved_evidence_not_verbatim,"FISCAL_VALIDATION_REGISTER.csv","[15b]",6,fa6e56a09a9e40c9cb8a10a208819183278457c4,dcf8d75c33b95cb01cf7cf1e08c0da3f1f8429c9,internally_verified,ten_Treasury_controls_pending
S6-R01,SR-06,Programme delivery designs,"Maintain one complete canonical programme design for each of the sixteen retained programmes","PR #7 body; AUDIT_LOG.md Stage 6; STATUS.md Stage 6",reconstructed_from_preserved_evidence_not_verbatim,"PROGRAMME_DESIGN_REGISTER.csv;PROGRAMME_DESIGN_SHEETS.md","[16];[16a]",7,74bd4a1f6591834d8aed8eb9c3922ce2c9ff8288,eccfa9ecb391f0f1d13275ea89adf7194c861d30,internally_verified,sixteen_agency_acceptances_pending
S6-R02,SR-06,Programme delivery designs,"Generate implementation sheets covering authority, delivery, cost, KPI, remedy, data, dependencies and stop, redesign and expansion tests","PR #7 body; AUDIT_LOG.md Stage 6",reconstructed_from_preserved_evidence_not_verbatim,"PROGRAMME_DESIGN_SHEETS.md;sync_document_integrity.py","[16b];[16c]",7,74bd4a1f6591834d8aed8eb9c3922ce2c9ff8288,eccfa9ecb391f0f1d13275ea89adf7194c861d30,internally_verified,sixteen_agency_acceptances_pending
S6-R03,SR-06,Programme delivery designs,"Keep every design pending until written accounting-officer acceptance and an acceptance date exist","PR #7 body; AUDIT_LOG.md Stage 6",reconstructed_from_preserved_evidence_not_verbatim,"PROGRAMME_DESIGN_REGISTER.csv","[16d]",7,74bd4a1f6591834d8aed8eb9c3922ce2c9ff8288,eccfa9ecb391f0f1d13275ea89adf7194c861d30,internally_verified,sixteen_agency_acceptances_pending
S6-R04,SR-06,Programme delivery designs,"Reconcile programme service-volume language to formula and reach units","PR #7 body; AUDIT_LOG.md Stage 6",reconstructed_from_preserved_evidence_not_verbatim,"PROGRAMME_REGISTER.csv;KPI_REGISTER.csv;COSTING_ASSUMPTIONS.csv;BENEFICIARY_RECONCILIATION.csv","[16e];[16f]",7,74bd4a1f6591834d8aed8eb9c3922ce2c9ff8288,eccfa9ecb391f0f1d13275ea89adf7194c861d30,internally_verified,sixteen_agency_acceptances_pending
S7-R01,SR-07,Service commitments,"Maintain exactly seven controlled administrative commitments for ownership, visibility, reasons, referral, eligibility and queues, reporting, and escalation","PR #8 body; AUDIT_LOG.md Stage 7; STATUS.md Stage 7",reconstructed_from_preserved_evidence_not_verbatim,"SERVICE_COMMITMENT_REGISTER.csv;SERVICE_COMMITMENTS.md","[17];[17a]",8,1eea7d2814a3a6c136bbf4bc658fdd7e58c3a188,b8179b7cb8597427f4c4b9e4b16851ad29248581,internally_verified,seven_agency_adoptions_pending
S7-R02,SR-07,Service commitments,"Map each commitment only to applicable programmes and reflect the exact mapping in each design sheet","PR #8 body; AUDIT_LOG.md Stage 7",reconstructed_from_preserved_evidence_not_verbatim,"SERVICE_COMMITMENT_REGISTER.csv;PROGRAMME_DESIGN_SHEETS.md","[17b];[17g]",8,1eea7d2814a3a6c136bbf4bc658fdd7e58c3a188,b8179b7cb8597427f4c4b9e4b16851ad29248581,internally_verified,seven_agency_adoptions_pending
S7-R03,SR-07,Service commitments,"Invent no numeric processing deadline before workflow and capacity validation and guarantee no statutory or third-party outcome","PR #8 body; AUDIT_LOG.md Stage 7",reconstructed_from_preserved_evidence_not_verbatim,"SERVICE_COMMITMENT_REGISTER.csv;SERVICE_COMMITMENTS.md","[17c];[17e]",8,1eea7d2814a3a6c136bbf4bc658fdd7e58c3a188,b8179b7cb8597427f4c4b9e4b16851ad29248581,internally_verified,seven_agency_adoptions_pending
S7-R04,SR-07,Service commitments,"Represent no commitment as adopted without responsible-agency evidence and an acceptance date","PR #8 body; AUDIT_LOG.md Stage 7",reconstructed_from_preserved_evidence_not_verbatim,"SERVICE_COMMITMENT_REGISTER.csv","[17d]",8,1eea7d2814a3a6c136bbf4bc658fdd7e58c3a188,b8179b7cb8597427f4c4b9e4b16851ad29248581,internally_verified,seven_agency_adoptions_pending
S8-R01,SR-08,Governance continuity,"Maintain eight continuity controls covering sponsorship, ministerial and official delegation, delivery officers, bounded secretariat, escalation, reporting and succession","PR #9 body; AUDIT_LOG.md Stage 8; STATUS.md Stage 8",reconstructed_from_preserved_evidence_not_verbatim,"GOVERNANCE_CONTINUITY_REGISTER.csv;GOVERNANCE_CONTINUITY.md","[18];[18a]",9,df2e7e1378117a2f208288ab2282aa1dcd5fe7b7,07450be6d38e5364f7dc49eb92af175178378e0b,internally_verified,eight_Cabinet_controls_pending
S8-R02,SR-08,Governance continuity,"Apply the delegated escalation spine across all sixteen retained programmes","PR #9 body; AUDIT_LOG.md Stage 8",reconstructed_from_preserved_evidence_not_verbatim,"RESPONSIBILITY_MATRIX.csv;PROGRAMME_DESIGN_SHEETS.md","[18b];[18f]",9,df2e7e1378117a2f208288ab2282aa1dcd5fe7b7,07450be6d38e5364f7dc49eb92af175178378e0b,internally_verified,eight_Cabinet_controls_pending
S8-R03,SR-08,Governance continuity,"Measure delegated continuity, reporting, exceptions and handovers rather than personal Prime Ministerial meeting attendance","PR #9 body; AUDIT_LOG.md Stage 8",reconstructed_from_preserved_evidence_not_verbatim,"KPI_REGISTER.csv;RISK_AND_SAFEGUARD_REGISTER.csv;GOVERNANCE_CONTINUITY.md","[18e]",9,df2e7e1378117a2f208288ab2282aa1dcd5fe7b7,07450be6d38e5364f7dc49eb92af175178378e0b,internally_verified,eight_Cabinet_controls_pending
S8-R04,SR-08,Governance continuity,"Preserve Cabinet, statutory, vote, procurement and accounting-officer boundaries and imply no unrecorded adoption","PR #9 body; AUDIT_LOG.md Stage 8",reconstructed_from_preserved_evidence_not_verbatim,"GOVERNANCE_CONTINUITY_REGISTER.csv;DECISION_REGISTER.csv","[18c];[18d]",9,df2e7e1378117a2f208288ab2282aa1dcd5fe7b7,07450be6d38e5364f7dc49eb92af175178378e0b,internally_verified,eight_Cabinet_controls_pending
