conflict_id,item,action_plan_position,mib_v2_position,conflict_type,materiality,evidence_needed,resolution_method,status,adopted_resolution
CNF-001,Income and poverty baseline vintage,"Uses HIS 2014 figures (227,600 IB40 households; RM2,672 B40 mean; RM4,627 median) as the live 2026 baseline throughout",No figures at all,figure_conflict_with_external_evidence,critical,DOSM HIES 2022 and a DOSM Indian-specific B40 household count for 2022,"Recalculate against DOSM HIES 2022; retain the 2014 figures only as explicitly labelled historic MIB baselines",resolved,"2014 figures retained ONLY as MIB-era baselines with the year stated. Present-day statements use HIES 2022. Re-estimation of the Indian B40 household count is listed as validation item VAL-02."
CNF-002,Relative poverty position of the community,"Frames Indian poverty as the defining national deprivation case, implying the highest need",Frames need qualitatively without comparison,evidence_omission,critical,DOSM Poverty in Malaysia 2022 ethnic breakdown,"Disclose the full ethnic comparison and rebuild the justification on structural exclusion and adverse trend rather than on relative poverty depth",resolved,"Proposal states plainly: Indian absolute poverty 5.4% (2022) is below Bumiputera 7.9% and above Chinese 1.9%, and rose from 4.8% in 2019. The case rests on the rising trend plus specific structural exclusions, not on being the poorest group."
CNF-003,Population share,Approximately 6-7% of the national population,Not stated,definition_conflict,moderate,DOSM Current Population Estimates 2026 with a citizen/total denominator statement,Adopt the DOSM figure and state the denominator,resolved,"Approximately 6.5% (2024), declining from 6.6% (2023). Denominator (total population vs citizens) flagged as VAL-04."
CNF-004,Cause of civil service under-representation,Implies selection and panel composition are the binding constraint; proposes Indian officers on SPA/JPA panels,Frames it as awareness and preparation,causal_conflict,major,JPA statements on application volumes and appointment success rates,Adopt the JPA-stated cause; redesign the programme around application supply,resolved,"PRG-13 is redesigned as an application-pipeline programme (outreach, preparation, application completion) because JPA states non-Malay applicants have the highest appointment success rates but very low application volumes. Panel-composition measures are retained only as a transparency measure, not as the causal remedy."
CNF-005,Documentation caseload and target,"~25,000 cases treated as a hard caseload; 100% clearance in 24 months",Qualitative; no numbers or deadline,figure_and_deliverability_conflict,critical,"JPN/Home Ministry caseload data; legal advice on citizenship discretion","Establish a verified caseload first; replace a clearance-percentage target with throughput and cycle-time targets",resolved,"PRG-01 Deliverable 1 is a verified caseload baseline within 9 months. Targets become processing-time and resolution-rate targets. No clearance percentage is promised, because Article 15/16 citizenship decisions are a Ministerial discretion."
CNF-006,SJKT count and maintenance base,"528 schools; maintenance RM30m (2024) to RM50m (2026)",Qualitative only,figure_conflict_between_external_sources,moderate,MOE administrative record of SJKT count and maintenance allocation history,Adopt the dated MOE-sourced count; disclose the variant and avoid stating a growth multiple,resolved,"528 schools / 78,501 pupils as at 31 May 2026 adopted; the 527 variant is disclosed in a footnote; no growth multiple is stated because the prior-year base is reported inconsistently (RM30m vs RM20m)."
CNF-007,Nature of the MIB RM500 million instrument,"A five-year interest-free loan scheme, RM5,000 per household, 100,000 IB40 households",Not mentioned,fabricated_or_mischaracterised_instrument,critical,MIB 2017 primary text,Inspect the primary MIB PDF and correct,resolved,"MIB 2017 pp.41 and 112 establish a RM500 million PNB unit-trust SEED FUND providing matching booster units to IB40 savers. The loan characterisation is removed everywhere, and the derived 100,000-household Phase 1 target (CLM-036) is rejected with it. PRG-11 is rebuilt as a matched-savings instrument consistent with the actual MIB design."
CNF-008,AS1M unit allocation,"1.5 billion AS1M units allocated to the Indian community, up to 30,000 units per investor; lapsed with no successor fund",Not mentioned,unsupported_claim,critical,MIB 2017 primary text,Full-text search of the primary MIB PDF,resolved,"Zero matches for the figure in the 172-page MIB 2017 PDF. The claim, the 'community has gone backwards on equity' narrative, and the Phase 3 '>=3bn units' target are all removed. Pillar 3 is rebuilt around household savings and asset accumulation, which the MIB does support."
CNF-009,MIB savings target horizon,Within 10 years,Not mentioned,figure_conflict,moderate,MIB 2017 primary text,Inspect primary source,resolved,MIB 2017 pp.33 and 40 both state within 5 years. Corrected to five years wherever the MIB target is described.
CNF-010,Phase 1 funding envelope,"Requests Phase 1 be funded 'within the existing Indian-community allocation (RM220 million in Budget 2026)'",Not addressed,unverified_fiscal_basis,critical,Budget 2026 supply documents,Verify at source; if unverified do not build a funding request on it,resolved,"The RM220 million Indian-community line could not be substantiated; the figure surfaced in a Parliamentary-institution context. Only MITRA RM150m (2026) and SPUMI RM50m (2026) are used as verified existing allocations. Confirming the full existing Indian-community envelope is validation item VAL-03, and the proposal states that the Phase 1 request cannot be finalised until MOF confirms it."
